id,emission_type,livestock_category_type,livestock_production_type,climate,moisture,manure_management_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10.14 (footnotes)."
142613,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Daily Spread,0.2,0.14,0.26,
142614,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Digester,3.2,2.24,4.16,
142615,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Burned For Fuel,16.1,11.27,20.93,
142616,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Pit<1Month,0,0,0,
142617,EmissionType object (1),Dairy Cattle,High-Productivity,Cool Temperate,Moist,Pit>1Month,33.8,23.66,43.94,
124426,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Pasture/Range/Paddock,0.003,0.0021,0.0039,
124427,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Daily Spread,0,0,0,
124428,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Digester,0.0006,0.00042,0.00078,
124430,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Pit<1Month,0.002,0.0014,0.0026,
124431,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Pit>1Month,0.002,0.0014,0.0026,
124432,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Poultry Manure,0.001,0.0007,0.0013,
124433,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Deep Bedding,0.04,0.028,0.052,
124434,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Composting,0.0065,0.00455,0.00845,
124435,EmissionType object (2),Camels,Low-Productivity,Cool Temperate,Dry,Aerobic Treatment,0.03,0.021,0.039,
124436,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Lagoon,0,0,0,
124437,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Liquid/Slurry,0.003333333,0.002333333,0.004333333,
124438,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Solid Storage,0.01,0.007,0.013,
124439,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Dry Lot,0.02,0.014,0.026,
124440,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Pasture/Range/Paddock,0.003,0.0021,0.0039,
124441,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Daily Spread,0,0,0,
124442,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Digester,0.0006,0.00042,0.00078,
124444,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Pit<1Month,0.002,0.0014,0.0026,
124445,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Pit>1Month,0.002,0.0014,0.0026,
124446,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Poultry Manure,0.001,0.0007,0.0013,
124447,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Deep Bedding,0.04,0.028,0.052,
124448,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Composting,0.0065,0.00455,0.00845,
124449,EmissionType object (2),Camels,Low-Productivity,Boreal,Moist,Aerobic Treatment,0.03,0.021,0.039,
124450,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Lagoon,0,0,0,
124451,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Liquid/Slurry,0.003333333,0.002333333,0.004333333,
124452,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Solid Storage,0.01,0.007,0.013,
124453,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Dry Lot,0.02,0.014,0.026,
124454,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Pasture/Range/Paddock,0.003,0.0021,0.0039,
124455,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Daily Spread,0,0,0,
124456,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Digester,0.0006,0.00042,0.00078,
124458,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Pit<1Month,0.002,0.0014,0.0026,
124459,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Pit>1Month,0.002,0.0014,0.0026,
124460,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Poultry Manure,0.001,0.0007,0.0013,
124461,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Deep Bedding,0.04,0.028,0.052,
124462,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Composting,0.0065,0.00455,0.00845,
124463,EmissionType object (2),Camels,Low-Productivity,Boreal,Dry,Aerobic Treatment,0.03,0.021,0.039,
124464,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Lagoon,0,0,0,
124465,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Liquid/Slurry,0.003333333,0.002333333,0.004333333,
124466,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Solid Storage,0.01,0.007,0.013,
124467,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Dry Lot,0.02,0.014,0.026,
124468,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Pasture/Range/Paddock,0.003,0.0021,0.0039,
124469,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Daily Spread,0,0,0,
124470,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Digester,0.0006,0.00042,0.00078,
124472,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Pit<1Month,0.002,0.0014,0.0026,
124473,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Pit>1Month,0.002,0.0014,0.0026,
124474,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Poultry Manure,0.001,0.0007,0.0013,
124475,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Deep Bedding,0.04,0.028,0.052,
124476,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Composting,0.0065,0.00455,0.00845,
124477,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Moist,Aerobic Treatment,0.03,0.021,0.039,
124478,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Lagoon,0,0,0,
124479,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Liquid/Slurry,0.003333333,0.002333333,0.004333333,
124480,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Solid Storage,0.01,0.007,0.013,
124481,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Dry Lot,0.02,0.014,0.026,
124482,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Pasture/Range/Paddock,0.003,0.0021,0.0039,
124483,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Daily Spread,0,0,0,
124484,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Digester,0.0006,0.00042,0.00078,
124486,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Pit<1Month,0.002,0.0014,0.0026,
124487,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Pit>1Month,0.002,0.0014,0.0026,
124488,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Poultry Manure,0.001,0.0007,0.0013,
124489,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Deep Bedding,0.04,0.028,0.052,
124490,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Composting,0.0065,0.00455,0.00845,
124491,EmissionType object (2),Camels,Low-Productivity,Warm Temperate,Dry,Aerobic Treatment,0.03,0.021,0.039,
124492,EmissionType object (2),Camels,Low-Productivity,Tropical Montane,Dry,Lagoon,0,0,0,
124493,EmissionType object (2),Camels,Low-Productivity,Tropical Montane,Dry,Liquid/Slurry,0.003333333,0.002333333,0.004333333,
129782,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Composting,0.625,0.4375,0.8125,
129783,EmissionType object (3),Breeding Swine,High-Productivity,Boreal,Dry,Aerobic Treatment,0.85,0.595,1.105,
129784,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Lagoon,0.4,0.28,0.52,
129785,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129786,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Solid Storage,0.355,0.2485,0.4615,
129787,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Dry Lot,0.45,0.315,0.585,
129788,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Pasture/Range/Paddock,0.21,0.147,0.273,
129789,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Daily Spread,0.07,0.049,0.091,
129790,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Digester,0.275,0.1925,0.3575,
129791,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Burned For Fuel,0,0,0,
129792,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Pit<1Month,0.25,0.175,0.325,
129793,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Pit>1Month,0.25,0.175,0.325,
129794,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Poultry Manure,0,0,0,
129795,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Deep Bedding,0.4,0.28,0.52,
129796,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Composting,0.625,0.4375,0.8125,
129797,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Moist,Aerobic Treatment,0.85,0.595,1.105,
129798,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Lagoon,0.4,0.28,0.52,
129799,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129800,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Solid Storage,0.355,0.2485,0.4615,
129801,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Dry Lot,0.45,0.315,0.585,
129802,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Pasture/Range/Paddock,0.21,0.147,0.273,
129803,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Daily Spread,0.07,0.049,0.091,
129804,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Digester,0.275,0.1925,0.3575,
129805,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Burned For Fuel,0,0,0,
129806,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Pit<1Month,0.25,0.175,0.325,
129807,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Pit>1Month,0.25,0.175,0.325,
129808,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Poultry Manure,0,0,0,
129809,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Deep Bedding,0.4,0.28,0.52,
129810,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Composting,0.625,0.4375,0.8125,
129811,EmissionType object (3),Breeding Swine,High-Productivity,Warm Temperate,Dry,Aerobic Treatment,0.85,0.595,1.105,
129812,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Lagoon,0.4,0.28,0.52,
129813,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129814,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Solid Storage,0.355,0.2485,0.4615,
129815,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Dry Lot,0.45,0.315,0.585,
129816,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Pasture/Range/Paddock,0.21,0.147,0.273,
129817,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Daily Spread,0.07,0.049,0.091,
129818,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Digester,0.275,0.1925,0.3575,
129819,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Burned For Fuel,0,0,0,
129820,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Pit<1Month,0.25,0.175,0.325,
129821,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Pit>1Month,0.25,0.175,0.325,
129822,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Poultry Manure,0,0,0,
129823,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Deep Bedding,0.4,0.28,0.52,
129824,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Composting,0.625,0.4375,0.8125,
129825,EmissionType object (3),Breeding Swine,High-Productivity,Tropical Montane,Dry,Aerobic Treatment,0.85,0.595,1.105,
129826,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Lagoon,0.4,0.28,0.52,
129827,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129828,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Solid Storage,0.355,0.2485,0.4615,
129829,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Dry Lot,0.45,0.315,0.585,
129830,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Pasture/Range/Paddock,0.21,0.147,0.273,
129831,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Daily Spread,0.07,0.049,0.091,
129832,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Digester,0.275,0.1925,0.3575,
129833,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Burned For Fuel,0,0,0,
129834,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Pit<1Month,0.25,0.175,0.325,
129835,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Pit>1Month,0.25,0.175,0.325,
129836,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Poultry Manure,0,0,0,
129837,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Deep Bedding,0.4,0.28,0.52,
129838,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Composting,0.625,0.4375,0.8125,
129839,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Wet,Aerobic Treatment,0.85,0.595,1.105,
129840,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Lagoon,0.4,0.28,0.52,
129841,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129842,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Solid Storage,0.355,0.2485,0.4615,
129843,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Dry Lot,0.45,0.315,0.585,
129844,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Pasture/Range/Paddock,0.21,0.147,0.273,
129845,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Daily Spread,0.07,0.049,0.091,
129846,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Digester,0.275,0.1925,0.3575,
129847,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Burned For Fuel,0,0,0,
129848,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Pit<1Month,0.25,0.175,0.325,
129849,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Pit>1Month,0.25,0.175,0.325,
129850,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Poultry Manure,0,0,0,
129851,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Deep Bedding,0.4,0.28,0.52,
129852,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Composting,0.625,0.4375,0.8125,
129853,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Moist,Aerobic Treatment,0.85,0.595,1.105,
129854,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Lagoon,0.4,0.28,0.52,
129855,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129856,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Solid Storage,0.355,0.2485,0.4615,
129857,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Dry Lot,0.45,0.315,0.585,
129858,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Pasture/Range/Paddock,0.21,0.147,0.273,
129859,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Daily Spread,0.07,0.049,0.091,
129860,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Digester,0.275,0.1925,0.3575,
129861,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Burned For Fuel,0,0,0,
129862,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Pit<1Month,0.25,0.175,0.325,
129863,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Pit>1Month,0.25,0.175,0.325,
129864,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Poultry Manure,0,0,0,
129865,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Deep Bedding,0.4,0.28,0.52,
129866,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Composting,0.625,0.4375,0.8125,
129867,EmissionType object (3),Breeding Swine,High-Productivity,Tropical,Dry,Aerobic Treatment,0.85,0.595,1.105,
129868,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Lagoon,0.4,0.28,0.52,
129869,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129870,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Solid Storage,0.355,0.2485,0.4615,
129871,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Dry Lot,0.45,0.315,0.585,
129872,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Pasture/Range/Paddock,0.21,0.147,0.273,
129873,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Daily Spread,0.07,0.049,0.091,
129874,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Digester,0.275,0.1925,0.3575,
129875,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Burned For Fuel,0,0,0,
129876,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Pit<1Month,0.25,0.175,0.325,
129877,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Pit>1Month,0.25,0.175,0.325,
129878,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Poultry Manure,0,0,0,
129879,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Deep Bedding,0.4,0.28,0.52,
129880,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Composting,0.625,0.4375,0.8125,
129881,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Moist,Aerobic Treatment,0.85,0.595,1.105,
129882,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Lagoon,0.4,0.28,0.52,
129883,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129884,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Solid Storage,0.355,0.2485,0.4615,
129885,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Dry Lot,0.45,0.315,0.585,
129886,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Pasture/Range/Paddock,0.21,0.147,0.273,
129887,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Daily Spread,0.07,0.049,0.091,
129888,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Digester,0.275,0.1925,0.3575,
129889,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Burned For Fuel,0,0,0,
129890,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Pit<1Month,0.25,0.175,0.325,
129891,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Pit>1Month,0.25,0.175,0.325,
129892,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Poultry Manure,0,0,0,
129893,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Deep Bedding,0.4,0.28,0.52,
129894,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Composting,0.625,0.4375,0.8125,
129895,EmissionType object (3),Breeding Swine,Low-Productivity,Cool Temperate,Dry,Aerobic Treatment,0.85,0.595,1.105,
129896,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Lagoon,0.4,0.28,0.52,
129897,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129898,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Solid Storage,0.355,0.2485,0.4615,
129899,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Dry Lot,0.45,0.315,0.585,
129900,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Pasture/Range/Paddock,0.21,0.147,0.273,
129901,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Daily Spread,0.07,0.049,0.091,
129902,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Digester,0.275,0.1925,0.3575,
129903,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Burned For Fuel,0,0,0,
129904,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Pit<1Month,0.25,0.175,0.325,
129905,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Pit>1Month,0.25,0.175,0.325,
129906,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Poultry Manure,0,0,0,
129907,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Deep Bedding,0.4,0.28,0.52,
129908,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Composting,0.625,0.4375,0.8125,
129909,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Moist,Aerobic Treatment,0.85,0.595,1.105,
129910,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Lagoon,0.4,0.28,0.52,
129911,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129912,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Solid Storage,0.355,0.2485,0.4615,
129913,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Dry Lot,0.45,0.315,0.585,
129914,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Pasture/Range/Paddock,0.21,0.147,0.273,
129915,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Daily Spread,0.07,0.049,0.091,
129916,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Digester,0.275,0.1925,0.3575,
129917,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Burned For Fuel,0,0,0,
129918,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Pit<1Month,0.25,0.175,0.325,
129919,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Pit>1Month,0.25,0.175,0.325,
129920,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Poultry Manure,0,0,0,
129921,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Deep Bedding,0.4,0.28,0.52,
129922,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Composting,0.625,0.4375,0.8125,
129923,EmissionType object (3),Breeding Swine,Low-Productivity,Boreal,Dry,Aerobic Treatment,0.85,0.595,1.105,
129924,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Lagoon,0.4,0.28,0.52,
129925,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Liquid/Slurry,0.293333333,0.205333333,0.381333333,
129926,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Solid Storage,0.355,0.2485,0.4615,
129927,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Dry Lot,0.45,0.315,0.585,
129928,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Pasture/Range/Paddock,0.21,0.147,0.273,
129929,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Daily Spread,0.07,0.049,0.091,
129930,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Digester,0.275,0.1925,0.3575,
129931,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Burned For Fuel,0,0,0,
129932,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Pit<1Month,0.25,0.175,0.325,
129933,EmissionType object (3),Breeding Swine,Low-Productivity,Warm Temperate,Moist,Pit>1Month,0.25,0.175,0.325,
