id,climate,moisture,continent,land_use_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.2, 5.3, 5.9."
43579,Cool Temperate,Dry,Southern Africa,Hedgerow,13.1,9.301,16.899,
43580,Cool Temperate,Dry,Southern Africa,Silvoarable,13.7,3.425,23.975,
43581,Cool Temperate,Dry,Southern Africa,Silvopasture,35,8.75,61.25,
43582,Cool Temperate,Dry,Southern Africa,Other Land,1,#N/A,#N/A,
43583,Cool Temperate,Dry,Southern Africa,Olive,6.9,1.725,12.075,
43584,Cool Temperate,Dry,Southern Africa,Orchard,6.4,1.6,11.2,
43585,Cool Temperate,Dry,Southern Africa,Short Rotation Coppice,6.35,1.5875,11.1125,
43586,Cool Temperate,Dry,Southern Africa,Tea,18.3,4.575,32.025,
43587,Cool Temperate,Dry,Southern Africa,Vine,2.8,2.1,3.5,
43588,Cool Temperate,Dry,Western Africa,Grains,4.7,1.175,8.225,
43589,Cool Temperate,Dry,Western Africa,Maize,4.7,1.175,8.225,
43590,Cool Temperate,Dry,Western Africa,Sugarcane,4.7,1.175,8.225,
43591,Cool Temperate,Dry,Western Africa,Wheat,4.7,1.175,8.225,
43592,Cool Temperate,Dry,Western Africa,Beans & Pulses,4.7,1.175,8.225,
43593,Cool Temperate,Dry,Western Africa,Tubers,4.7,1.175,8.225,
43594,Cool Temperate,Dry,Western Africa,Root Crops,4.7,1.175,8.225,
43595,Cool Temperate,Dry,Western Africa,Barley,4.7,1.175,8.225,
43596,Cool Temperate,Dry,Western Africa,Oats,4.7,1.175,8.225,
43597,Cool Temperate,Dry,Western Africa,Millet,4.7,1.175,8.225,
43598,Cool Temperate,Dry,Western Africa,Sorghum,4.7,1.175,8.225,
43599,Cool Temperate,Dry,Western Africa,Rye,4.7,1.175,8.225,
43600,Cool Temperate,Dry,Western Africa,Soybeans,4.7,1.175,8.225,
43601,Cool Temperate,Dry,Western Africa,Dry Bean,4.7,1.175,8.225,
43602,Cool Temperate,Dry,Western Africa,Potatoes,4.7,1.175,8.225,
43603,Cool Temperate,Dry,Western Africa,Peanuts,4.7,1.175,8.225,
43604,Cool Temperate,Dry,Western Africa,Vegetables,4.7,1.175,8.225,
43605,Cool Temperate,Dry,Western Africa,Oilseeds,4.7,1.175,8.225,
43606,Cool Temperate,Dry,Western Africa,Groundnuts,4.7,1.175,8.225,
43607,Cool Temperate,Dry,Western Africa,Annual Cropland,4.7,1.175,8.225,
43608,Cool Temperate,Dry,Western Africa,Set Aside,4.7,1.175,8.225,
43609,Cool Temperate,Dry,Western Africa,Flooded Rice,4.7,1.175,8.225,
43610,Cool Temperate,Dry,Western Africa,Grassland,3.055,0.76375,5.34625,
43611,Cool Temperate,Dry,Western Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
43612,Cool Temperate,Dry,Western Africa,Settlement,0,#N/A,#N/A,
43613,Cool Temperate,Dry,Western Africa,Agroforestry - Default,20.6,5.15,36.05,
43614,Cool Temperate,Dry,Western Africa,Hedgerow,13.1,9.301,16.899,
43615,Cool Temperate,Dry,Western Africa,Silvoarable,13.7,3.425,23.975,
43616,Cool Temperate,Dry,Western Africa,Silvopasture,35,8.75,61.25,
43617,Cool Temperate,Dry,Western Africa,Other Land,1,#N/A,#N/A,
43618,Cool Temperate,Dry,Western Africa,Olive,6.9,1.725,12.075,
43619,Cool Temperate,Dry,Western Africa,Orchard,6.4,1.6,11.2,
43620,Cool Temperate,Dry,Western Africa,Short Rotation Coppice,6.35,1.5875,11.1125,
43621,Cool Temperate,Dry,Western Africa,Tea,18.3,4.575,32.025,
43622,Cool Temperate,Dry,Western Africa,Vine,2.8,2.1,3.5,
43623,Cool Temperate,Dry,Central Asia,Grains,4.7,1.175,8.225,
43624,Cool Temperate,Dry,Central Asia,Maize,4.7,1.175,8.225,
43625,Cool Temperate,Dry,Central Asia,Sugarcane,4.7,1.175,8.225,
43626,Cool Temperate,Dry,Central Asia,Wheat,4.7,1.175,8.225,
43627,Cool Temperate,Dry,Central Asia,Beans & Pulses,4.7,1.175,8.225,
43628,Cool Temperate,Dry,Central Asia,Tubers,4.7,1.175,8.225,
43629,Cool Temperate,Dry,Central Asia,Root Crops,4.7,1.175,8.225,
43630,Cool Temperate,Dry,Central Asia,Barley,4.7,1.175,8.225,
43631,Cool Temperate,Dry,Central Asia,Oats,4.7,1.175,8.225,
43632,Cool Temperate,Dry,Central Asia,Millet,4.7,1.175,8.225,
43633,Cool Temperate,Dry,Central Asia,Sorghum,4.7,1.175,8.225,
43634,Cool Temperate,Dry,Central Asia,Rye,4.7,1.175,8.225,
43635,Cool Temperate,Dry,Central Asia,Soybeans,4.7,1.175,8.225,
43636,Cool Temperate,Dry,Central Asia,Dry Bean,4.7,1.175,8.225,
43637,Cool Temperate,Dry,Central Asia,Potatoes,4.7,1.175,8.225,
43638,Cool Temperate,Dry,Central Asia,Peanuts,4.7,1.175,8.225,
43639,Cool Temperate,Dry,Central Asia,Vegetables,4.7,1.175,8.225,
43640,Cool Temperate,Dry,Central Asia,Oilseeds,4.7,1.175,8.225,
43641,Cool Temperate,Dry,Central Asia,Groundnuts,4.7,1.175,8.225,
43642,Cool Temperate,Dry,Central Asia,Annual Cropland,4.7,1.175,8.225,
43643,Cool Temperate,Dry,Central Asia,Set Aside,4.7,1.175,8.225,
43644,Cool Temperate,Dry,Central Asia,Flooded Rice,4.7,1.175,8.225,
43645,Cool Temperate,Dry,Central Asia,Grassland,3.055,0.76375,5.34625,
43646,Cool Temperate,Dry,Central Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
43647,Cool Temperate,Dry,Central Asia,Settlement,0,#N/A,#N/A,
43648,Cool Temperate,Dry,Central Asia,Agroforestry - Default,20.6,5.15,36.05,
43649,Cool Temperate,Dry,Central Asia,Hedgerow,13.1,9.301,16.899,
43650,Cool Temperate,Dry,Central Asia,Silvoarable,13.7,3.425,23.975,
43651,Cool Temperate,Dry,Central Asia,Silvopasture,35,8.75,61.25,
43652,Cool Temperate,Dry,Central Asia,Other Land,1,#N/A,#N/A,
43653,Cool Temperate,Dry,Central Asia,Olive,6.9,1.725,12.075,
43654,Cool Temperate,Dry,Central Asia,Orchard,6.4,1.6,11.2,
43655,Cool Temperate,Dry,Central Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
43656,Cool Temperate,Dry,Central Asia,Tea,18.3,4.575,32.025,
43657,Cool Temperate,Dry,Central Asia,Vine,2.8,2.1,3.5,
43658,Cool Temperate,Dry,Eastern Asia,Grains,4.7,1.175,8.225,
43659,Cool Temperate,Dry,Eastern Asia,Maize,4.7,1.175,8.225,
43660,Cool Temperate,Dry,Eastern Asia,Sugarcane,4.7,1.175,8.225,
43661,Cool Temperate,Dry,Eastern Asia,Wheat,4.7,1.175,8.225,
43662,Cool Temperate,Dry,Eastern Asia,Beans & Pulses,4.7,1.175,8.225,
43663,Cool Temperate,Dry,Eastern Asia,Tubers,4.7,1.175,8.225,
43664,Cool Temperate,Dry,Eastern Asia,Root Crops,4.7,1.175,8.225,
43665,Cool Temperate,Dry,Eastern Asia,Barley,4.7,1.175,8.225,
43666,Cool Temperate,Dry,Eastern Asia,Oats,4.7,1.175,8.225,
43667,Cool Temperate,Dry,Eastern Asia,Millet,4.7,1.175,8.225,
43668,Cool Temperate,Dry,Eastern Asia,Sorghum,4.7,1.175,8.225,
43669,Cool Temperate,Dry,Eastern Asia,Rye,4.7,1.175,8.225,
43670,Cool Temperate,Dry,Eastern Asia,Soybeans,4.7,1.175,8.225,
43671,Cool Temperate,Dry,Eastern Asia,Dry Bean,4.7,1.175,8.225,
43672,Cool Temperate,Dry,Eastern Asia,Potatoes,4.7,1.175,8.225,
43673,Cool Temperate,Dry,Eastern Asia,Peanuts,4.7,1.175,8.225,
43674,Cool Temperate,Dry,Eastern Asia,Vegetables,4.7,1.175,8.225,
43675,Cool Temperate,Dry,Eastern Asia,Oilseeds,4.7,1.175,8.225,
43676,Cool Temperate,Dry,Eastern Asia,Groundnuts,4.7,1.175,8.225,
43677,Cool Temperate,Dry,Eastern Asia,Annual Cropland,4.7,1.175,8.225,
43678,Cool Temperate,Dry,Eastern Asia,Set Aside,4.7,1.175,8.225,
43679,Cool Temperate,Dry,Eastern Asia,Flooded Rice,4.7,1.175,8.225,
43680,Cool Temperate,Dry,Eastern Asia,Grassland,3.055,0.76375,5.34625,
43681,Cool Temperate,Dry,Eastern Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
43682,Cool Temperate,Dry,Eastern Asia,Settlement,0,#N/A,#N/A,
43683,Cool Temperate,Dry,Eastern Asia,Agroforestry - Default,20.6,5.15,36.05,
43684,Cool Temperate,Dry,Eastern Asia,Hedgerow,13.1,9.301,16.899,
43685,Cool Temperate,Dry,Eastern Asia,Silvoarable,13.7,3.425,23.975,
43686,Cool Temperate,Dry,Eastern Asia,Silvopasture,35,8.75,61.25,
43687,Cool Temperate,Dry,Eastern Asia,Other Land,1,#N/A,#N/A,
43688,Cool Temperate,Dry,Eastern Asia,Olive,6.9,1.725,12.075,
43689,Cool Temperate,Dry,Eastern Asia,Orchard,6.4,1.6,11.2,
43690,Cool Temperate,Dry,Eastern Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
43691,Cool Temperate,Dry,Eastern Asia,Tea,18.3,4.575,32.025,
43692,Cool Temperate,Dry,Eastern Asia,Vine,2.8,2.1,3.5,
43693,Cool Temperate,Dry,South-Eastern Asia,Grains,4.7,1.175,8.225,
43694,Cool Temperate,Dry,South-Eastern Asia,Maize,4.7,1.175,8.225,
43695,Cool Temperate,Dry,South-Eastern Asia,Sugarcane,4.7,1.175,8.225,
43696,Cool Temperate,Dry,South-Eastern Asia,Wheat,4.7,1.175,8.225,
43697,Cool Temperate,Dry,South-Eastern Asia,Beans & Pulses,4.7,1.175,8.225,
43698,Cool Temperate,Dry,South-Eastern Asia,Tubers,4.7,1.175,8.225,
43699,Cool Temperate,Dry,South-Eastern Asia,Root Crops,4.7,1.175,8.225,
43700,Cool Temperate,Dry,South-Eastern Asia,Barley,4.7,1.175,8.225,
43701,Cool Temperate,Dry,South-Eastern Asia,Oats,4.7,1.175,8.225,
43702,Cool Temperate,Dry,South-Eastern Asia,Millet,4.7,1.175,8.225,
43703,Cool Temperate,Dry,South-Eastern Asia,Sorghum,4.7,1.175,8.225,
43704,Cool Temperate,Dry,South-Eastern Asia,Rye,4.7,1.175,8.225,
43705,Cool Temperate,Dry,South-Eastern Asia,Soybeans,4.7,1.175,8.225,
43706,Cool Temperate,Dry,South-Eastern Asia,Dry Bean,4.7,1.175,8.225,
43707,Cool Temperate,Dry,South-Eastern Asia,Potatoes,4.7,1.175,8.225,
43708,Cool Temperate,Dry,South-Eastern Asia,Peanuts,4.7,1.175,8.225,
43709,Cool Temperate,Dry,South-Eastern Asia,Vegetables,4.7,1.175,8.225,
43710,Cool Temperate,Dry,South-Eastern Asia,Oilseeds,4.7,1.175,8.225,
43711,Cool Temperate,Dry,South-Eastern Asia,Groundnuts,4.7,1.175,8.225,
43712,Cool Temperate,Dry,South-Eastern Asia,Annual Cropland,4.7,1.175,8.225,
43713,Cool Temperate,Dry,South-Eastern Asia,Set Aside,4.7,1.175,8.225,
43714,Cool Temperate,Dry,South-Eastern Asia,Flooded Rice,4.7,1.175,8.225,
43715,Cool Temperate,Dry,South-Eastern Asia,Grassland,3.055,0.76375,5.34625,
43716,Cool Temperate,Dry,South-Eastern Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
43717,Cool Temperate,Dry,South-Eastern Asia,Settlement,0,#N/A,#N/A,
43718,Cool Temperate,Dry,South-Eastern Asia,Agroforestry - Default,20.6,5.15,36.05,
43719,Cool Temperate,Dry,South-Eastern Asia,Hedgerow,13.1,9.301,16.899,
43720,Cool Temperate,Dry,South-Eastern Asia,Silvoarable,13.7,3.425,23.975,
43721,Cool Temperate,Dry,South-Eastern Asia,Silvopasture,35,8.75,61.25,
43722,Cool Temperate,Dry,South-Eastern Asia,Other Land,1,#N/A,#N/A,
43723,Cool Temperate,Dry,South-Eastern Asia,Olive,6.9,1.725,12.075,
43724,Cool Temperate,Dry,South-Eastern Asia,Orchard,6.4,1.6,11.2,
43725,Cool Temperate,Dry,South-Eastern Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
43726,Cool Temperate,Dry,South-Eastern Asia,Tea,18.3,4.575,32.025,
43727,Cool Temperate,Dry,South-Eastern Asia,Vine,2.8,2.1,3.5,
43728,Cool Temperate,Dry,Southern Asia,Grains,4.7,1.175,8.225,
43729,Cool Temperate,Dry,Southern Asia,Maize,4.7,1.175,8.225,
43730,Cool Temperate,Dry,Southern Asia,Sugarcane,4.7,1.175,8.225,
43731,Cool Temperate,Dry,Southern Asia,Wheat,4.7,1.175,8.225,
43732,Cool Temperate,Dry,Southern Asia,Beans & Pulses,4.7,1.175,8.225,
43733,Cool Temperate,Dry,Southern Asia,Tubers,4.7,1.175,8.225,
43734,Cool Temperate,Dry,Southern Asia,Root Crops,4.7,1.175,8.225,
43735,Cool Temperate,Dry,Southern Asia,Barley,4.7,1.175,8.225,
43736,Cool Temperate,Dry,Southern Asia,Oats,4.7,1.175,8.225,
43737,Cool Temperate,Dry,Southern Asia,Millet,4.7,1.175,8.225,
43738,Cool Temperate,Dry,Southern Asia,Sorghum,4.7,1.175,8.225,
43739,Cool Temperate,Dry,Southern Asia,Rye,4.7,1.175,8.225,
43740,Cool Temperate,Dry,Southern Asia,Soybeans,4.7,1.175,8.225,
43741,Cool Temperate,Dry,Southern Asia,Dry Bean,4.7,1.175,8.225,
43742,Cool Temperate,Dry,Southern Asia,Potatoes,4.7,1.175,8.225,
43743,Cool Temperate,Dry,Southern Asia,Peanuts,4.7,1.175,8.225,
43744,Cool Temperate,Dry,Southern Asia,Vegetables,4.7,1.175,8.225,
43745,Cool Temperate,Dry,Southern Asia,Oilseeds,4.7,1.175,8.225,
43746,Cool Temperate,Dry,Southern Asia,Groundnuts,4.7,1.175,8.225,
43747,Cool Temperate,Dry,Southern Asia,Annual Cropland,4.7,1.175,8.225,
43748,Cool Temperate,Dry,Southern Asia,Set Aside,4.7,1.175,8.225,
43749,Cool Temperate,Dry,Southern Asia,Flooded Rice,4.7,1.175,8.225,
43750,Cool Temperate,Dry,Southern Asia,Grassland,3.055,0.76375,5.34625,
43751,Cool Temperate,Dry,Southern Asia,Other Land (Non-Vegetated),0,#N/A,#N/A,
43752,Cool Temperate,Dry,Southern Asia,Settlement,0,#N/A,#N/A,
43753,Cool Temperate,Dry,Southern Asia,Agroforestry - Default,20.6,5.15,36.05,
43754,Cool Temperate,Dry,Southern Asia,Hedgerow,13.1,9.301,16.899,
43755,Cool Temperate,Dry,Southern Asia,Silvoarable,13.7,3.425,23.975,
43756,Cool Temperate,Dry,Southern Asia,Silvopasture,35,8.75,61.25,
43757,Cool Temperate,Dry,Southern Asia,Other Land,1,#N/A,#N/A,
43758,Cool Temperate,Dry,Southern Asia,Olive,6.9,1.725,12.075,
43759,Cool Temperate,Dry,Southern Asia,Orchard,6.4,1.6,11.2,
43760,Cool Temperate,Dry,Southern Asia,Short Rotation Coppice,6.35,1.5875,11.1125,
43761,Cool Temperate,Dry,Southern Asia,Tea,18.3,4.575,32.025,
43762,Cool Temperate,Dry,Southern Asia,Vine,2.8,2.1,3.5,
43763,Cool Temperate,Dry,Western Asia,Grains,4.7,1.175,8.225,
43764,Cool Temperate,Dry,Western Asia,Maize,4.7,1.175,8.225,
43765,Cool Temperate,Dry,Western Asia,Sugarcane,4.7,1.175,8.225,
43766,Cool Temperate,Dry,Western Asia,Wheat,4.7,1.175,8.225,
43767,Cool Temperate,Dry,Western Asia,Beans & Pulses,4.7,1.175,8.225,
43768,Cool Temperate,Dry,Western Asia,Tubers,4.7,1.175,8.225,
43769,Cool Temperate,Dry,Western Asia,Root Crops,4.7,1.175,8.225,
43770,Cool Temperate,Dry,Western Asia,Barley,4.7,1.175,8.225,
43771,Cool Temperate,Dry,Western Asia,Oats,4.7,1.175,8.225,
43772,Cool Temperate,Dry,Western Asia,Millet,4.7,1.175,8.225,
43773,Cool Temperate,Dry,Western Asia,Sorghum,4.7,1.175,8.225,
43774,Cool Temperate,Dry,Western Asia,Rye,4.7,1.175,8.225,
43775,Cool Temperate,Dry,Western Asia,Soybeans,4.7,1.175,8.225,
43776,Cool Temperate,Dry,Western Asia,Dry Bean,4.7,1.175,8.225,
43777,Cool Temperate,Dry,Western Asia,Potatoes,4.7,1.175,8.225,
43778,Cool Temperate,Dry,Western Asia,Peanuts,4.7,1.175,8.225,
43779,Cool Temperate,Dry,Western Asia,Vegetables,4.7,1.175,8.225,
43780,Cool Temperate,Dry,Western Asia,Oilseeds,4.7,1.175,8.225,
