id,summary,climate,moisture,continent,land_use_type,value (original),totalbiomass,totalbiomass_min,totalbiomass_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.1, 5.2, 5.3, 5.9, and Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, table 6.4.",,,
,Cool Temperate | Dry | Eastern Africa | Grains,Cool Temperate,Dry,Eastern Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Annual Cropland,Cool Temperate,Dry,Eastern Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Set Aside,Cool Temperate,Dry,Eastern Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Flooded Rice,Cool Temperate,Dry,Eastern Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Eastern Africa | Grassland,Cool Temperate,Dry,Eastern Africa,Grassland,3.055,3.055,0.76375,5.34625,,,,
,Cool Temperate | Dry | Eastern Africa | Other Land (Non-Vegetated),Cool Temperate,Dry,Eastern Africa,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Eastern Africa | Settlement,Cool Temperate,Dry,Eastern Africa,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Eastern Africa | Agroforestry - Default,Cool Temperate,Dry,Eastern Africa,Agroforestry - Default,1.596666667,1.596666667,0.811333333,2.382000001,,,,
,Cool Temperate | Dry | Eastern Africa | Hedgerow,Cool Temperate,Dry,Eastern Africa,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Dry | Eastern Africa | Silvoarable,Cool Temperate,Dry,Eastern Africa,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Dry | Eastern Africa | Silvopasture,Cool Temperate,Dry,Eastern Africa,Silvopasture,2.29,2.29,1.4936,3.0864,,,,
,Cool Temperate | Dry | Eastern Africa | Other Land,Cool Temperate,Dry,Eastern Africa,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Eastern Africa | Olive,Cool Temperate,Dry,Eastern Africa,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Dry | Eastern Africa | Orchard,Cool Temperate,Dry,Eastern Africa,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Dry | Eastern Africa | Short Rotation Coppice,Cool Temperate,Dry,Eastern Africa,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Dry | Eastern Africa | Tea,Cool Temperate,Dry,Eastern Africa,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Dry | Eastern Africa | Vine,Cool Temperate,Dry,Eastern Africa,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Dry | Eastern Africa | Oil Palm,Cool Temperate,Dry,Eastern Africa,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Eastern Africa | Rubber,Cool Temperate,Dry,Eastern Africa,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Central Africa | Grains,Cool Temperate,Dry,Central Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Maize,Cool Temperate,Dry,Central Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Sugarcane,Cool Temperate,Dry,Central Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Wheat,Cool Temperate,Dry,Central Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Beans & Pulses,Cool Temperate,Dry,Central Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Tubers,Cool Temperate,Dry,Central Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Root Crops,Cool Temperate,Dry,Central Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Barley,Cool Temperate,Dry,Central Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Oats,Cool Temperate,Dry,Central Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Millet,Cool Temperate,Dry,Central Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Sorghum,Cool Temperate,Dry,Central Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Rye,Cool Temperate,Dry,Central Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Soybeans,Cool Temperate,Dry,Central Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Dry Bean,Cool Temperate,Dry,Central Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Potatoes,Cool Temperate,Dry,Central Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Peanuts,Cool Temperate,Dry,Central Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Vegetables,Cool Temperate,Dry,Central Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Oilseeds,Cool Temperate,Dry,Central Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Groundnuts,Cool Temperate,Dry,Central Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Annual Cropland,Cool Temperate,Dry,Central Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Set Aside,Cool Temperate,Dry,Central Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Flooded Rice,Cool Temperate,Dry,Central Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Africa | Grassland,Cool Temperate,Dry,Central Africa,Grassland,3.055,3.055,0.76375,5.34625,,,,
,Cool Temperate | Dry | Central Africa | Other Land (Non-Vegetated),Cool Temperate,Dry,Central Africa,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Central Africa | Settlement,Cool Temperate,Dry,Central Africa,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Central Africa | Agroforestry - Default,Cool Temperate,Dry,Central Africa,Agroforestry - Default,1.596666667,1.596666667,0.811333333,2.382000001,,,,
,Cool Temperate | Dry | Central Africa | Hedgerow,Cool Temperate,Dry,Central Africa,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Dry | Central Africa | Silvoarable,Cool Temperate,Dry,Central Africa,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Dry | Central Africa | Silvopasture,Cool Temperate,Dry,Central Africa,Silvopasture,2.29,2.29,1.4936,3.0864,,,,
,Cool Temperate | Dry | Central Africa | Other Land,Cool Temperate,Dry,Central Africa,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Central Africa | Olive,Cool Temperate,Dry,Central Africa,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Dry | Central Africa | Orchard,Cool Temperate,Dry,Central Africa,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Dry | Central Africa | Short Rotation Coppice,Cool Temperate,Dry,Central Africa,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Dry | Central Africa | Tea,Cool Temperate,Dry,Central Africa,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Dry | Central Africa | Vine,Cool Temperate,Dry,Central Africa,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Dry | Central Africa | Oil Palm,Cool Temperate,Dry,Central Africa,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Central Africa | Rubber,Cool Temperate,Dry,Central Africa,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Northern Africa | Grains,Cool Temperate,Dry,Northern Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Maize,Cool Temperate,Dry,Northern Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Sugarcane,Cool Temperate,Dry,Northern Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Wheat,Cool Temperate,Dry,Northern Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Beans & Pulses,Cool Temperate,Dry,Northern Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Tubers,Cool Temperate,Dry,Northern Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Root Crops,Cool Temperate,Dry,Northern Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Barley,Cool Temperate,Dry,Northern Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Oats,Cool Temperate,Dry,Northern Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Millet,Cool Temperate,Dry,Northern Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Sorghum,Cool Temperate,Dry,Northern Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Rye,Cool Temperate,Dry,Northern Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Soybeans,Cool Temperate,Dry,Northern Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Dry Bean,Cool Temperate,Dry,Northern Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Potatoes,Cool Temperate,Dry,Northern Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Peanuts,Cool Temperate,Dry,Northern Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Vegetables,Cool Temperate,Dry,Northern Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Oilseeds,Cool Temperate,Dry,Northern Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Groundnuts,Cool Temperate,Dry,Northern Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Annual Cropland,Cool Temperate,Dry,Northern Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Set Aside,Cool Temperate,Dry,Northern Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Flooded Rice,Cool Temperate,Dry,Northern Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Northern Africa | Grassland,Cool Temperate,Dry,Northern Africa,Grassland,3.055,3.055,0.76375,5.34625,,,,
,Cool Temperate | Dry | Northern Africa | Other Land (Non-Vegetated),Cool Temperate,Dry,Northern Africa,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Northern Africa | Settlement,Cool Temperate,Dry,Northern Africa,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Northern Africa | Agroforestry - Default,Cool Temperate,Dry,Northern Africa,Agroforestry - Default,1.596666667,1.596666667,0.811333333,2.382000001,,,,
,Cool Temperate | Dry | Northern Africa | Hedgerow,Cool Temperate,Dry,Northern Africa,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Dry | Northern Africa | Silvoarable,Cool Temperate,Dry,Northern Africa,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Dry | Northern Africa | Silvopasture,Cool Temperate,Dry,Northern Africa,Silvopasture,2.29,2.29,1.4936,3.0864,,,,
,Cool Temperate | Dry | Northern Africa | Other Land,Cool Temperate,Dry,Northern Africa,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Northern Africa | Olive,Cool Temperate,Dry,Northern Africa,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Dry | Northern Africa | Orchard,Cool Temperate,Dry,Northern Africa,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Dry | Northern Africa | Short Rotation Coppice,Cool Temperate,Dry,Northern Africa,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Dry | Northern Africa | Tea,Cool Temperate,Dry,Northern Africa,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Dry | Northern Africa | Vine,Cool Temperate,Dry,Northern Africa,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Dry | Northern Africa | Oil Palm,Cool Temperate,Dry,Northern Africa,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Northern Africa | Rubber,Cool Temperate,Dry,Northern Africa,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Southern Africa | Grains,Cool Temperate,Dry,Southern Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Maize,Cool Temperate,Dry,Southern Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Sugarcane,Cool Temperate,Dry,Southern Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Wheat,Cool Temperate,Dry,Southern Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Beans & Pulses,Cool Temperate,Dry,Southern Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Tubers,Cool Temperate,Dry,Southern Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Root Crops,Cool Temperate,Dry,Southern Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Barley,Cool Temperate,Dry,Southern Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Oats,Cool Temperate,Dry,Southern Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Millet,Cool Temperate,Dry,Southern Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Sorghum,Cool Temperate,Dry,Southern Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Rye,Cool Temperate,Dry,Southern Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Soybeans,Cool Temperate,Dry,Southern Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Dry Bean,Cool Temperate,Dry,Southern Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Potatoes,Cool Temperate,Dry,Southern Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Peanuts,Cool Temperate,Dry,Southern Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Vegetables,Cool Temperate,Dry,Southern Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Oilseeds,Cool Temperate,Dry,Southern Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Groundnuts,Cool Temperate,Dry,Southern Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Annual Cropland,Cool Temperate,Dry,Southern Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Set Aside,Cool Temperate,Dry,Southern Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Flooded Rice,Cool Temperate,Dry,Southern Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Southern Africa | Grassland,Cool Temperate,Dry,Southern Africa,Grassland,3.055,3.055,0.76375,5.34625,,,,
,Cool Temperate | Dry | Southern Africa | Other Land (Non-Vegetated),Cool Temperate,Dry,Southern Africa,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Southern Africa | Settlement,Cool Temperate,Dry,Southern Africa,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Southern Africa | Agroforestry - Default,Cool Temperate,Dry,Southern Africa,Agroforestry - Default,1.596666667,1.596666667,0.811333333,2.382000001,,,,
,Cool Temperate | Dry | Southern Africa | Hedgerow,Cool Temperate,Dry,Southern Africa,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Dry | Southern Africa | Silvoarable,Cool Temperate,Dry,Southern Africa,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Dry | Southern Africa | Silvopasture,Cool Temperate,Dry,Southern Africa,Silvopasture,2.29,2.29,1.4936,3.0864,,,,
,Cool Temperate | Dry | Southern Africa | Other Land,Cool Temperate,Dry,Southern Africa,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Southern Africa | Olive,Cool Temperate,Dry,Southern Africa,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Dry | Southern Africa | Orchard,Cool Temperate,Dry,Southern Africa,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Dry | Southern Africa | Short Rotation Coppice,Cool Temperate,Dry,Southern Africa,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Dry | Southern Africa | Tea,Cool Temperate,Dry,Southern Africa,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Dry | Southern Africa | Vine,Cool Temperate,Dry,Southern Africa,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Dry | Southern Africa | Oil Palm,Cool Temperate,Dry,Southern Africa,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Southern Africa | Rubber,Cool Temperate,Dry,Southern Africa,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Western Africa | Grains,Cool Temperate,Dry,Western Africa,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Maize,Cool Temperate,Dry,Western Africa,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Sugarcane,Cool Temperate,Dry,Western Africa,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Wheat,Cool Temperate,Dry,Western Africa,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Beans & Pulses,Cool Temperate,Dry,Western Africa,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Tubers,Cool Temperate,Dry,Western Africa,Tubers,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Root Crops,Cool Temperate,Dry,Western Africa,Root Crops,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Barley,Cool Temperate,Dry,Western Africa,Barley,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Oats,Cool Temperate,Dry,Western Africa,Oats,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Millet,Cool Temperate,Dry,Western Africa,Millet,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Sorghum,Cool Temperate,Dry,Western Africa,Sorghum,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Rye,Cool Temperate,Dry,Western Africa,Rye,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Soybeans,Cool Temperate,Dry,Western Africa,Soybeans,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Dry Bean,Cool Temperate,Dry,Western Africa,Dry Bean,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Potatoes,Cool Temperate,Dry,Western Africa,Potatoes,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Peanuts,Cool Temperate,Dry,Western Africa,Peanuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Vegetables,Cool Temperate,Dry,Western Africa,Vegetables,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Oilseeds,Cool Temperate,Dry,Western Africa,Oilseeds,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Groundnuts,Cool Temperate,Dry,Western Africa,Groundnuts,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Annual Cropland,Cool Temperate,Dry,Western Africa,Annual Cropland,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Set Aside,Cool Temperate,Dry,Western Africa,Set Aside,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Flooded Rice,Cool Temperate,Dry,Western Africa,Flooded Rice,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Western Africa | Grassland,Cool Temperate,Dry,Western Africa,Grassland,3.055,3.055,0.76375,5.34625,,,,
,Cool Temperate | Dry | Western Africa | Other Land (Non-Vegetated),Cool Temperate,Dry,Western Africa,Other Land (Non-Vegetated),0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Western Africa | Settlement,Cool Temperate,Dry,Western Africa,Settlement,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Western Africa | Agroforestry - Default,Cool Temperate,Dry,Western Africa,Agroforestry - Default,1.596666667,1.596666667,0.811333333,2.382000001,,,,
,Cool Temperate | Dry | Western Africa | Hedgerow,Cool Temperate,Dry,Western Africa,Hedgerow,1.1,1.1,0.6737,1.5263,,,,
,Cool Temperate | Dry | Western Africa | Silvoarable,Cool Temperate,Dry,Western Africa,Silvoarable,1.4,1.4,0.7056,2.0944,,,,
,Cool Temperate | Dry | Western Africa | Silvopasture,Cool Temperate,Dry,Western Africa,Silvopasture,2.29,2.29,1.4936,3.0864,,,,
,Cool Temperate | Dry | Western Africa | Other Land,Cool Temperate,Dry,Western Africa,Other Land,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Western Africa | Olive,Cool Temperate,Dry,Western Africa,Olive,0.46,0.46,0.3358,0.5842,,,,
,Cool Temperate | Dry | Western Africa | Orchard,Cool Temperate,Dry,Western Africa,Orchard,0.43,0.43,0.2322,0.6278,,,,
,Cool Temperate | Dry | Western Africa | Short Rotation Coppice,Cool Temperate,Dry,Western Africa,Short Rotation Coppice,3.2,3.2,1.92,4.48,,,,
,Cool Temperate | Dry | Western Africa | Tea,Cool Temperate,Dry,Western Africa,Tea,0.7,0.7,0.525,0.875,,,,
,Cool Temperate | Dry | Western Africa | Vine,Cool Temperate,Dry,Western Africa,Vine,0.28,0.28,0.2072,0.3528,,,,
,Cool Temperate | Dry | Western Africa | Oil Palm,Cool Temperate,Dry,Western Africa,Oil Palm,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Western Africa | Rubber,Cool Temperate,Dry,Western Africa,Rubber,0,0,#N/A,#N/A,,,,
,Cool Temperate | Dry | Central Asia | Grains,Cool Temperate,Dry,Central Asia,Grains,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Asia | Maize,Cool Temperate,Dry,Central Asia,Maize,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Asia | Sugarcane,Cool Temperate,Dry,Central Asia,Sugarcane,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Asia | Wheat,Cool Temperate,Dry,Central Asia,Wheat,4.7,4.7,1.175,8.225,,,,
,Cool Temperate | Dry | Central Asia | Beans & Pulses,Cool Temperate,Dry,Central Asia,Beans & Pulses,4.7,4.7,1.175,8.225,,,,
