id,input_type,climate,moisture,water_regime_type,co2_value,n2o_value,co2_eq_value,co2_value_min,co2_value_max,n2o_value_min,n2o_value_max,co2_eq_value_min,co2_eq_value_max,"Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, Ch. 11.3.1, Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 11.1, Lal, R. 2004. Carbon emission from farm operations. Environment International, 30(7) : 981–990. https://doi.org/10.1016/j.envint.2004.03.005"
647,Compost,Tropical Montane,Wet,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
648,Compost,Tropical Montane,Moist,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
649,Compost,Boreal,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
650,Compost,Boreal,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
651,Compost,Boreal,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
652,Compost,Cool Temperate,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
653,Compost,Cool Temperate,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
654,Compost,Cool Temperate,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
655,Compost,Warm Temperate,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
656,Compost,Warm Temperate,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
657,Compost,Warm Temperate,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
658,"Rendering Waste, Brewery Waste, Guano",Tropical,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
659,"Rendering Waste, Brewery Waste, Guano",Tropical,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
660,"Rendering Waste, Brewery Waste, Guano",Tropical,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
661,"Rendering Waste, Brewery Waste, Guano",Tropical Montane,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
662,"Rendering Waste, Brewery Waste, Guano",Tropical Montane,Wet,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
663,"Rendering Waste, Brewery Waste, Guano",Tropical Montane,Moist,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
664,"Rendering Waste, Brewery Waste, Guano",Boreal,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
665,"Rendering Waste, Brewery Waste, Guano",Boreal,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
666,"Rendering Waste, Brewery Waste, Guano",Boreal,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
667,"Rendering Waste, Brewery Waste, Guano",Cool Temperate,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
668,"Rendering Waste, Brewery Waste, Guano",Cool Temperate,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
669,"Rendering Waste, Brewery Waste, Guano",Cool Temperate,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
670,"Rendering Waste, Brewery Waste, Guano",Warm Temperate,Dry,,,0.005,,N/A,N/A,0,0.011,N/A,N/A,
671,"Rendering Waste, Brewery Waste, Guano",Warm Temperate,Wet,,,0.006,,N/A,N/A,0.001,0.011,N/A,N/A,
672,"Rendering Waste, Brewery Waste, Guano",Warm Temperate,Moist,,,0.0055,,N/A,N/A,0.0005,0.011,N/A,N/A,
673,Phosphorous,Tropical,Dry,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
674,Phosphorous,Tropical,Wet,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
675,Phosphorous,Tropical,Moist,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
676,Phosphorous,Tropical Montane,Dry,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
677,Phosphorous,Tropical Montane,Wet,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
678,Phosphorous,Tropical Montane,Moist,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
679,Phosphorous,Boreal,Dry,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
680,Phosphorous,Boreal,Wet,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
681,Phosphorous,Boreal,Moist,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
682,Phosphorous,Cool Temperate,Dry,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
683,Phosphorous,Cool Temperate,Wet,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
684,Phosphorous,Cool Temperate,Moist,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
685,Phosphorous,Warm Temperate,Dry,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
686,Phosphorous,Warm Temperate,Wet,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
687,Phosphorous,Warm Temperate,Moist,,,,0.733333333,N/A,N/A,N/A,N/A,0.513333333,0.953333333,
688,Potassium,Tropical,Dry,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
689,Potassium,Tropical,Wet,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
690,Potassium,Tropical,Moist,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
691,Potassium,Tropical Montane,Dry,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
692,Potassium,Tropical Montane,Wet,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
693,Potassium,Tropical Montane,Moist,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
694,Potassium,Boreal,Dry,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
695,Potassium,Boreal,Wet,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
696,Potassium,Boreal,Moist,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
697,Potassium,Cool Temperate,Dry,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
698,Potassium,Cool Temperate,Wet,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
699,Potassium,Cool Temperate,Moist,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
700,Potassium,Warm Temperate,Dry,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
701,Potassium,Warm Temperate,Wet,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
702,Potassium,Warm Temperate,Moist,,,,0.55,N/A,N/A,N/A,N/A,0.33,0.77,
703,Fungicides,Tropical,Dry,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
704,Fungicides,Tropical,Wet,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
705,Fungicides,Tropical,Moist,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
706,Fungicides,Tropical Montane,Dry,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
707,Fungicides,Tropical Montane,Wet,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
708,Fungicides,Tropical Montane,Moist,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
709,Fungicides,Boreal,Dry,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
710,Fungicides,Boreal,Wet,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
711,Fungicides,Boreal,Moist,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
712,Fungicides,Cool Temperate,Dry,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
713,Fungicides,Cool Temperate,Wet,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
714,Fungicides,Cool Temperate,Moist,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
715,Fungicides,Warm Temperate,Dry,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
716,Fungicides,Warm Temperate,Wet,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
717,Fungicides,Warm Temperate,Moist,,,,14.3,N/A,N/A,N/A,N/A,6.233333333,22.36666667,
718,Herbicides,Tropical,Dry,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
719,Herbicides,Tropical,Wet,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
720,Herbicides,Tropical,Moist,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
721,Herbicides,Tropical Montane,Dry,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
722,Herbicides,Tropical Montane,Wet,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
723,Herbicides,Tropical Montane,Moist,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
724,Herbicides,Boreal,Dry,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
725,Herbicides,Boreal,Wet,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
726,Herbicides,Boreal,Moist,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
727,Herbicides,Cool Temperate,Dry,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
728,Herbicides,Cool Temperate,Wet,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
729,Herbicides,Cool Temperate,Moist,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
730,Herbicides,Warm Temperate,Dry,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
731,Herbicides,Warm Temperate,Wet,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
732,Herbicides,Warm Temperate,Moist,,,,23.1,N/A,N/A,N/A,N/A,13.2,33,
733,Insecticides,Tropical,Dry,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
734,Insecticides,Tropical,Wet,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
735,Insecticides,Tropical,Moist,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
736,Insecticides,Tropical Montane,Dry,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
737,Insecticides,Tropical Montane,Wet,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
738,Insecticides,Tropical Montane,Moist,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
739,Insecticides,Boreal,Dry,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
740,Insecticides,Boreal,Wet,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
741,Insecticides,Boreal,Moist,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
742,Insecticides,Cool Temperate,Dry,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
743,Insecticides,Cool Temperate,Wet,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
744,Insecticides,Cool Temperate,Moist,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
745,Insecticides,Warm Temperate,Dry,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
746,Insecticides,Warm Temperate,Wet,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
747,Insecticides,Warm Temperate,Moist,,,,18.7,N/A,N/A,N/A,N/A,7.7,29.7,
