id,settlement_type,climate,moisture,flu,fmg,fi,biomass,flu_min,flu_max,fmg_min,fmg_max,fi_min,fi_max,biomass_min,biomass_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 4.6, 5.5, 6.2. And Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, Ch. 8.3.3.2, p. 8.24."
105,Turfgrass,Tropical Montane,Wet,1,1.16,1,0,N/A,N/A,0.696,1.624,N/A,N/A,N/A,N/A,
104,Turfgrass,Tropical Montane,Moist,1,1.16,1,0,N/A,N/A,0.696,1.624,N/A,N/A,N/A,N/A,
103,Turfgrass,Tropical Montane,Dry,1,1.16,1,0,N/A,N/A,0.696,1.624,N/A,N/A,N/A,N/A,
102,Turfgrass,Tropical,Wet,1,1.17,1,0,N/A,N/A,1.0647,1.2753,N/A,N/A,N/A,N/A,
101,Turfgrass,Tropical,Moist,1,1.17,1,0,N/A,N/A,1.0647,1.2753,N/A,N/A,N/A,N/A,
100,Turfgrass,Tropical,Dry,1,1.17,1,0,N/A,N/A,1.0647,1.2753,N/A,N/A,N/A,N/A,
99,Turfgrass,Warm Temperate,Wet,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
98,Turfgrass,Cool Temperate,Wet,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
97,Turfgrass,Warm Temperate,Moist,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
96,Turfgrass,Cool Temperate,Moist,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
95,Turfgrass,Warm Temperate,Dry,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
94,Turfgrass,Cool Temperate,Dry,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
93,Turfgrass,Boreal,Wet,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
92,Turfgrass,Boreal,Moist,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
91,Turfgrass,Boreal,Dry,1,1.14,1,0,N/A,N/A,1.0146,1.2654,N/A,N/A,N/A,N/A,
90,Paved settlement,Tropical Montane,Wet,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
89,Paved settlement,Tropical Montane,Moist,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
88,Paved settlement,Tropical Montane,Dry,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
87,Paved settlement,Tropical,Wet,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
86,Paved settlement,Tropical,Moist,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
85,Paved settlement,Tropical,Dry,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
84,Paved settlement,Boreal,Wet,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
83,Paved settlement,Boreal,Moist,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
82,Paved settlement,Boreal,Dry,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
81,Paved settlement,Warm Temperate,Wet,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
80,Paved settlement,Warm Temperate,Moist,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
79,Paved settlement,Warm Temperate,Dry,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
78,Paved settlement,Cool Temperate,Wet,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
77,Paved settlement,Cool Temperate,Moist,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
76,Paved settlement,Cool Temperate,Dry,0.8,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
75,Infrastructure on existing land (no paving),Tropical Montane,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
74,Infrastructure on existing land (no paving),Tropical Montane,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
73,Infrastructure on existing land (no paving),Tropical Montane,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
72,Infrastructure on existing land (no paving),Tropical,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
71,Infrastructure on existing land (no paving),Tropical,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
70,Infrastructure on existing land (no paving),Tropical,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
69,Infrastructure on existing land (no paving),Boreal,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
68,Infrastructure on existing land (no paving),Boreal,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
67,Infrastructure on existing land (no paving),Boreal,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
66,Infrastructure on existing land (no paving),Warm Temperate,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
65,Infrastructure on existing land (no paving),Warm Temperate,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
64,Infrastructure on existing land (no paving),Warm Temperate,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
63,Infrastructure on existing land (no paving),Cool Temperate,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
62,Infrastructure on existing land (no paving),Cool Temperate,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
61,Infrastructure on existing land (no paving),Cool Temperate,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
