id,climate,moisture,land_use_type,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 5.5."
570,Boreal,Moist,Silvoarable,0.72,0.5616,0.8784,
571,Boreal,Moist,Silvopasture,0.72,0.5616,0.8784,
572,Boreal,Moist,Degraded Land,0.35,0.308,0.392,
573,Boreal,Moist,Oil Palm,0.72,0.5616,0.8784,
574,Boreal,Moist,Rubber,0.72,0.5616,0.8784,
575,Boreal,Moist,Tea,0.72,0.5616,0.8784,
576,Boreal,Moist,Olive,0.72,0.5616,0.8784,
577,Boreal,Moist,Orchard,0.72,0.5616,0.8784,
578,Boreal,Moist,Short Rotation Coppice,0.72,0.5616,0.8784,
579,Boreal,Moist,Vine,0.72,0.5616,0.8784,
580,Cool Temperate,Dry,Annual Cropland,0.77,0.6622,0.8778,
581,Cool Temperate,Dry,Annual Fallow,0.93,0.8277,1.0323,
582,Cool Temperate,Dry,Flooded Rice,1.35,1.296,1.404,
583,Cool Temperate,Dry,Grassland,1,0.5,1.5,
584,Cool Temperate,Dry,Other Land (Non-Vegetated),1,0.5,1.5,
585,Cool Temperate,Dry,Agroforestry - Default,0.72,0.5616,0.8784,
586,Cool Temperate,Dry,Alley Cropping,0.72,0.5616,0.8784,
587,Cool Temperate,Dry,Perennial Fallow,0.72,0.5616,0.8784,
588,Cool Temperate,Dry,Hedgerow,0.72,0.5616,0.8784,
589,Cool Temperate,Dry,Multistrata,0.72,0.5616,0.8784,
590,Cool Temperate,Dry,Parkland,0.72,0.5616,0.8784,
591,Cool Temperate,Dry,Shaded Perennial,0.72,0.5616,0.8784,
592,Cool Temperate,Dry,Silvoarable,0.72,0.5616,0.8784,
593,Cool Temperate,Dry,Silvopasture,0.72,0.5616,0.8784,
594,Cool Temperate,Dry,Degraded Land,0.385,0.3311,0.4389,
595,Cool Temperate,Dry,Oil Palm,0.72,0.5616,0.8784,
596,Cool Temperate,Dry,Rubber,0.72,0.5616,0.8784,
597,Cool Temperate,Dry,Tea,0.72,0.5616,0.8784,
598,Cool Temperate,Dry,Olive,0.72,0.5616,0.8784,
599,Cool Temperate,Dry,Orchard,0.72,0.5616,0.8784,
600,Cool Temperate,Dry,Short Rotation Coppice,0.72,0.5616,0.8784,
601,Cool Temperate,Dry,Vine,0.72,0.5616,0.8784,
602,Cool Temperate,Moist,Annual Cropland,0.7,0.616,0.784,
603,Cool Temperate,Moist,Annual Fallow,0.82,0.6806,0.9594,
604,Cool Temperate,Moist,Flooded Rice,1.35,1.296,1.404,
605,Cool Temperate,Moist,Grassland,1,0.5,1.5,
606,Cool Temperate,Moist,Other Land (Non-Vegetated),1,0.5,1.5,
607,Cool Temperate,Moist,Agroforestry - Default,0.72,0.5616,0.8784,
608,Cool Temperate,Moist,Alley Cropping,0.72,0.5616,0.8784,
609,Cool Temperate,Moist,Perennial Fallow,0.72,0.5616,0.8784,
610,Cool Temperate,Moist,Hedgerow,0.72,0.5616,0.8784,
611,Cool Temperate,Moist,Multistrata,0.72,0.5616,0.8784,
612,Cool Temperate,Moist,Parkland,0.72,0.5616,0.8784,
613,Cool Temperate,Moist,Shaded Perennial,0.72,0.5616,0.8784,
614,Cool Temperate,Moist,Silvoarable,0.72,0.5616,0.8784,
615,Cool Temperate,Moist,Silvopasture,0.72,0.5616,0.8784,
616,Cool Temperate,Moist,Degraded Land,0.35,0.308,0.392,
617,Cool Temperate,Moist,Oil Palm,0.72,0.5616,0.8784,
618,Cool Temperate,Moist,Rubber,0.72,0.5616,0.8784,
619,Cool Temperate,Moist,Tea,0.72,0.5616,0.8784,
620,Cool Temperate,Moist,Olive,0.72,0.5616,0.8784,
621,Cool Temperate,Moist,Orchard,0.72,0.5616,0.8784,
622,Cool Temperate,Moist,Short Rotation Coppice,0.72,0.5616,0.8784,
623,Cool Temperate,Moist,Vine,0.72,0.5616,0.8784,
624,Tropical,Dry,Annual Cropland,0.92,0.8004,1.0396,
625,Tropical,Dry,Annual Fallow,0.93,0.8277,1.0323,
626,Tropical,Dry,Flooded Rice,1.35,1.296,1.404,
627,Tropical,Dry,Grassland,1,0.5,1.5,
628,Tropical,Dry,Other Land (Non-Vegetated),1,0.5,1.5,
629,Tropical,Dry,Agroforestry - Default,1.01,0.7575,1.2625,
630,Tropical,Dry,Alley Cropping,1.01,0.7575,1.2625,
631,Tropical,Dry,Perennial Fallow,1.01,0.7575,1.2625,
632,Tropical,Dry,Hedgerow,1.01,0.7575,1.2625,
633,Tropical,Dry,Multistrata,1.01,0.7575,1.2625,
634,Tropical,Dry,Parkland,1.01,0.7575,1.2625,
635,Tropical,Dry,Shaded Perennial,1.01,0.7575,1.2625,
636,Tropical,Dry,Silvoarable,1.01,0.7575,1.2625,
637,Tropical,Dry,Silvopasture,1.01,0.7575,1.2625,
638,Tropical,Dry,Degraded Land,0.46,0.4002,0.5198,
639,Tropical,Dry,Oil Palm,1.01,0.7575,1.2625,
640,Tropical,Dry,Rubber,1.01,0.7575,1.2625,
641,Tropical,Dry,Tea,1.01,0.7575,1.2625,
642,Tropical,Dry,Olive,1.01,0.7575,1.2625,
643,Tropical,Dry,Orchard,1.01,0.7575,1.2625,
644,Tropical,Dry,Short Rotation Coppice,1.01,0.7575,1.2625,
645,Tropical,Dry,Vine,1.01,0.7575,1.2625,
646,Tropical,Moist,Annual Cropland,0.83,0.7387,0.9213,
647,Tropical,Moist,Annual Fallow,0.82,0.6806,0.9594,
648,Tropical,Moist,Flooded Rice,1.35,1.296,1.404,
649,Tropical,Moist,Grassland,1,0.5,1.5,
650,Tropical,Moist,Other Land (Non-Vegetated),1,0.5,1.5,
651,Tropical,Moist,Agroforestry - Default,1.01,0.7575,1.2625,
652,Tropical,Moist,Alley Cropping,1.01,0.7575,1.2625,
653,Tropical,Moist,Perennial Fallow,1.01,0.7575,1.2625,
654,Tropical,Moist,Hedgerow,1.01,0.7575,1.2625,
655,Tropical,Moist,Multistrata,1.01,0.7575,1.2625,
656,Tropical,Moist,Parkland,1.01,0.7575,1.2625,
657,Tropical,Moist,Shaded Perennial,1.01,0.7575,1.2625,
658,Tropical,Moist,Silvoarable,1.01,0.7575,1.2625,
659,Tropical,Moist,Silvopasture,1.01,0.7575,1.2625,
660,Tropical,Moist,Degraded Land,0.415,0.36935,0.46065,
661,Tropical,Moist,Oil Palm,1.01,0.7575,1.2625,
662,Tropical,Moist,Rubber,1.01,0.7575,1.2625,
663,Tropical,Moist,Tea,1.01,0.7575,1.2625,
664,Tropical,Moist,Olive,1.01,0.7575,1.2625,
665,Tropical,Moist,Orchard,1.01,0.7575,1.2625,
666,Tropical,Moist,Short Rotation Coppice,1.01,0.7575,1.2625,
667,Tropical,Moist,Vine,1.01,0.7575,1.2625,
668,Tropical,Wet,Annual Cropland,0.83,0.7387,0.9213,
669,Tropical,Wet,Annual Fallow,0.82,0.6806,0.9594,
670,Tropical,Wet,Flooded Rice,1.35,1.296,1.404,
671,Tropical,Wet,Grassland,1,0.5,1.5,
672,Tropical,Wet,Other Land (Non-Vegetated),1,0.5,1.5,
673,Tropical,Wet,Agroforestry - Default,1.01,0.7575,1.2625,
674,Tropical,Wet,Alley Cropping,1.01,0.7575,1.2625,
675,Tropical,Wet,Perennial Fallow,1.01,0.7575,1.2625,
676,Tropical,Wet,Hedgerow,1.01,0.7575,1.2625,
677,Tropical,Wet,Multistrata,1.01,0.7575,1.2625,
678,Tropical,Wet,Parkland,1.01,0.7575,1.2625,
679,Tropical,Wet,Shaded Perennial,1.01,0.7575,1.2625,
680,Tropical,Wet,Silvoarable,1.01,0.7575,1.2625,
681,Tropical,Wet,Silvopasture,1.01,0.7575,1.2625,
682,Tropical,Wet,Degraded Land,0.415,0.36935,0.46065,
683,Tropical,Wet,Oil Palm,1.01,0.7575,1.2625,
684,Tropical,Wet,Rubber,1.01,0.7575,1.2625,
685,Tropical,Wet,Tea,1.01,0.7575,1.2625,
686,Tropical,Wet,Olive,1.01,0.7575,1.2625,
687,Tropical,Wet,Orchard,1.01,0.7575,1.2625,
688,Tropical,Wet,Short Rotation Coppice,1.01,0.7575,1.2625,
689,Tropical,Wet,Vine,1.01,0.7575,1.2625,
690,Tropical Montane,Dry,Annual Cropland,0.64,0.32,0.96,
691,Tropical Montane,Dry,Annual Fallow,0.88,0.44,1.32,
692,Tropical Montane,Dry,Flooded Rice,1.35,1.296,1.404,
693,Tropical Montane,Dry,Grassland,1,0.5,1.5,
694,Tropical Montane,Dry,Other Land (Non-Vegetated),1,0.5,1.5,
695,Tropical Montane,Dry,Agroforestry - Default,1,0.5,1.5,
696,Tropical Montane,Dry,Alley Cropping,1,0.5,1.5,
697,Tropical Montane,Dry,Perennial Fallow,1,0.5,1.5,
698,Tropical Montane,Dry,Hedgerow,1,0.5,1.5,
699,Tropical Montane,Dry,Multistrata,1,0.5,1.5,
700,Tropical Montane,Dry,Parkland,1,0.5,1.5,
701,Tropical Montane,Dry,Shaded Perennial,1,0.5,1.5,
702,Tropical Montane,Dry,Silvoarable,1,0.5,1.5,
703,Tropical Montane,Dry,Silvopasture,1,0.5,1.5,
704,Tropical Montane,Dry,Degraded Land,0.32,0.16,0.48,
705,Tropical Montane,Dry,Oil Palm,1,0.5,1.5,
706,Tropical Montane,Dry,Rubber,1,0.5,1.5,
707,Tropical Montane,Dry,Tea,1,0.5,1.5,
708,Tropical Montane,Dry,Olive,1,0.5,1.5,
709,Tropical Montane,Dry,Orchard,1,0.5,1.5,
710,Tropical Montane,Dry,Short Rotation Coppice,1,0.5,1.5,
711,Tropical Montane,Dry,Vine,1,0.5,1.5,
712,Tropical Montane,Moist,Annual Cropland,0.64,0.32,0.96,
713,Tropical Montane,Moist,Annual Fallow,0.88,0.44,1.32,
714,Tropical Montane,Moist,Flooded Rice,1.35,1.296,1.404,
715,Tropical Montane,Moist,Grassland,1,0.5,1.5,
716,Tropical Montane,Moist,Other Land (Non-Vegetated),1,0.5,1.5,
717,Tropical Montane,Moist,Agroforestry - Default,1,0.5,1.5,
718,Tropical Montane,Moist,Alley Cropping,1,0.5,1.5,
719,Tropical Montane,Moist,Perennial Fallow,1,0.5,1.5,
720,Tropical Montane,Moist,Hedgerow,1,0.5,1.5,
721,Tropical Montane,Moist,Multistrata,1,0.5,1.5,
722,Tropical Montane,Moist,Parkland,1,0.5,1.5,
723,Tropical Montane,Moist,Shaded Perennial,1,0.5,1.5,
724,Tropical Montane,Moist,Silvoarable,1,0.5,1.5,
725,Tropical Montane,Moist,Silvopasture,1,0.5,1.5,
726,Tropical Montane,Moist,Degraded Land,0.32,0.16,0.48,
727,Tropical Montane,Moist,Oil Palm,1,0.5,1.5,
728,Tropical Montane,Moist,Rubber,1,0.5,1.5,
729,Tropical Montane,Moist,Tea,1,0.5,1.5,
730,Tropical Montane,Moist,Olive,1,0.5,1.5,
731,Tropical Montane,Moist,Orchard,1,0.5,1.5,
732,Tropical Montane,Moist,Short Rotation Coppice,1,0.5,1.5,
733,Tropical Montane,Moist,Vine,1,0.5,1.5,
734,Tropical Montane,Wet,Annual Cropland,0.64,0.32,0.96,
735,Tropical Montane,Wet,Annual Fallow,0.88,0.44,1.32,
736,Tropical Montane,Wet,Flooded Rice,1.35,1.296,1.404,
737,Tropical Montane,Wet,Grassland,1,0.5,1.5,
738,Tropical Montane,Wet,Other Land (Non-Vegetated),1,0.5,1.5,
739,Tropical Montane,Wet,Agroforestry - Default,1,0.5,1.5,
740,Tropical Montane,Wet,Alley Cropping,1,0.5,1.5,
741,Tropical Montane,Wet,Perennial Fallow,1,0.5,1.5,
742,Tropical Montane,Wet,Hedgerow,1,0.5,1.5,
743,Tropical Montane,Wet,Multistrata,1,0.5,1.5,
744,Tropical Montane,Wet,Parkland,1,0.5,1.5,
745,Tropical Montane,Wet,Shaded Perennial,1,0.5,1.5,
746,Tropical Montane,Wet,Silvoarable,1,0.5,1.5,
747,Tropical Montane,Wet,Silvopasture,1,0.5,1.5,
748,Tropical Montane,Wet,Degraded Land,0.32,0.16,0.48,
749,Tropical Montane,Wet,Oil Palm,1,0.5,1.5,
750,Tropical Montane,Wet,Rubber,1,0.5,1.5,
751,Tropical Montane,Wet,Tea,1,0.5,1.5,
752,Tropical Montane,Wet,Olive,1,0.5,1.5,
753,Tropical Montane,Wet,Orchard,1,0.5,1.5,
754,Tropical Montane,Wet,Short Rotation Coppice,1,0.5,1.5,
755,Tropical Montane,Wet,Vine,1,0.5,1.5,
756,Warm Temperate,Dry,Annual Cropland,0.76,0.6688,0.8512,
757,Warm Temperate,Dry,Annual Fallow,0.93,0.8277,1.0323,
758,Warm Temperate,Dry,Flooded Rice,1.35,1.296,1.404,
759,Warm Temperate,Dry,Grassland,1,0.5,1.5,
760,Warm Temperate,Dry,Other Land (Non-Vegetated),1,0.5,1.5,
761,Warm Temperate,Dry,Agroforestry - Default,0.72,0.5616,0.8784,
762,Warm Temperate,Dry,Alley Cropping,0.72,0.5616,0.8784,
763,Warm Temperate,Dry,Perennial Fallow,0.72,0.5616,0.8784,
764,Warm Temperate,Dry,Hedgerow,0.72,0.5616,0.8784,
765,Warm Temperate,Dry,Multistrata,0.72,0.5616,0.8784,
766,Warm Temperate,Dry,Parkland,0.72,0.5616,0.8784,
767,Warm Temperate,Dry,Shaded Perennial,0.72,0.5616,0.8784,
768,Warm Temperate,Dry,Silvoarable,0.72,0.5616,0.8784,
769,Warm Temperate,Dry,Silvopasture,0.72,0.5616,0.8784,
770,Warm Temperate,Dry,Degraded Land,0.38,0.3344,0.4256,
771,Warm Temperate,Dry,Oil Palm,0.72,0.5616,0.8784,
772,Warm Temperate,Dry,Rubber,0.72,0.5616,0.8784,
773,Warm Temperate,Dry,Tea,0.72,0.5616,0.8784,
774,Warm Temperate,Dry,Olive,0.72,0.5616,0.8784,
775,Warm Temperate,Dry,Orchard,0.72,0.5616,0.8784,
776,Warm Temperate,Dry,Short Rotation Coppice,0.72,0.5616,0.8784,
777,Warm Temperate,Dry,Vine,0.72,0.5616,0.8784,
778,Warm Temperate,Moist,Annual Cropland,0.69,0.5796,0.8004,
779,Warm Temperate,Moist,Annual Fallow,0.82,0.6806,0.9594,
780,Warm Temperate,Moist,Flooded Rice,1.35,1.296,1.404,
781,Warm Temperate,Moist,Grassland,1,0.5,1.5,
782,Warm Temperate,Moist,Other Land (Non-Vegetated),1,0.5,1.5,
783,Warm Temperate,Moist,Agroforestry - Default,0.72,0.5616,0.8784,
784,Warm Temperate,Moist,Alley Cropping,0.72,0.5616,0.8784,
785,Warm Temperate,Moist,Perennial Fallow,0.72,0.5616,0.8784,
786,Warm Temperate,Moist,Hedgerow,0.72,0.5616,0.8784,
787,Warm Temperate,Moist,Multistrata,0.72,0.5616,0.8784,
788,Warm Temperate,Moist,Parkland,0.72,0.5616,0.8784,
789,Warm Temperate,Moist,Shaded Perennial,0.72,0.5616,0.8784,
790,Warm Temperate,Moist,Silvoarable,0.72,0.5616,0.8784,
791,Warm Temperate,Moist,Silvopasture,0.72,0.5616,0.8784,
792,Warm Temperate,Moist,Degraded Land,0.345,0.2898,0.4002,
793,Warm Temperate,Moist,Oil Palm,0.72,0.5616,0.8784,
794,Warm Temperate,Moist,Rubber,0.72,0.5616,0.8784,
795,Warm Temperate,Moist,Tea,0.72,0.5616,0.8784,
796,Warm Temperate,Moist,Olive,0.72,0.5616,0.8784,
797,Warm Temperate,Moist,Orchard,0.72,0.5616,0.8784,
798,Warm Temperate,Moist,Short Rotation Coppice,0.72,0.5616,0.8784,
799,Warm Temperate,Moist,Vine,0.72,0.5616,0.8784,
