id,livestock_production_type,manure_management_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10A.6."
15829,High-Productivity,Digester,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15830,High-Productivity,Burned For Fuel,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15831,High-Productivity,Pit<1Month,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15833,High-Productivity,Poultry Manure,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15834,High-Productivity,Deep Bedding,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15835,High-Productivity,Composting,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15836,High-Productivity,Aerobic Treatment,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15837,High-Productivity,Lagoon,Dairy Cattle,Russian Federation,0,N/A,N/A,
15838,High-Productivity,Liquid/Slurry,Dairy Cattle,Russian Federation,5,N/A,N/A,
15839,High-Productivity,Solid Storage,Dairy Cattle,Russian Federation,74,N/A,N/A,
15840,High-Productivity,Dry Lot,Dairy Cattle,Russian Federation,0,N/A,N/A,
15841,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,Russian Federation,20,N/A,N/A,
15842,High-Productivity,Daily Spread,Dairy Cattle,Russian Federation,1,N/A,N/A,
15843,High-Productivity,Digester,Dairy Cattle,Russian Federation,0,N/A,N/A,
15844,High-Productivity,Burned For Fuel,Dairy Cattle,Russian Federation,0,N/A,N/A,
15845,High-Productivity,Pit<1Month,Dairy Cattle,Russian Federation,0,N/A,N/A,
15847,High-Productivity,Poultry Manure,Dairy Cattle,Russian Federation,0,N/A,N/A,
15848,High-Productivity,Deep Bedding,Dairy Cattle,Russian Federation,0,N/A,N/A,
15849,High-Productivity,Composting,Dairy Cattle,Russian Federation,0,N/A,N/A,
15850,High-Productivity,Aerobic Treatment,Dairy Cattle,Russian Federation,0,N/A,N/A,
15851,High-Productivity,Lagoon,Dairy Cattle,Oceania,5,N/A,N/A,
15852,High-Productivity,Liquid/Slurry,Dairy Cattle,Oceania,0,N/A,N/A,
15853,High-Productivity,Solid Storage,Dairy Cattle,Oceania,0,N/A,N/A,
15854,High-Productivity,Dry Lot,Dairy Cattle,Oceania,0,N/A,N/A,
15855,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,Oceania,94,N/A,N/A,
15856,High-Productivity,Daily Spread,Dairy Cattle,Oceania,1,N/A,N/A,
15857,High-Productivity,Digester,Dairy Cattle,Oceania,0,N/A,N/A,
15858,High-Productivity,Burned For Fuel,Dairy Cattle,Oceania,0,N/A,N/A,
15859,High-Productivity,Pit<1Month,Dairy Cattle,Oceania,0,N/A,N/A,
15861,High-Productivity,Poultry Manure,Dairy Cattle,Oceania,0,N/A,N/A,
15862,High-Productivity,Deep Bedding,Dairy Cattle,Oceania,0,N/A,N/A,
15863,High-Productivity,Composting,Dairy Cattle,Oceania,0,N/A,N/A,
15864,High-Productivity,Aerobic Treatment,Dairy Cattle,Oceania,0,N/A,N/A,
15865,High-Productivity,Lagoon,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15866,High-Productivity,Liquid/Slurry,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15867,High-Productivity,Solid Storage,Dairy Cattle,NENA/Middle East,14,N/A,N/A,
15868,High-Productivity,Dry Lot,Dairy Cattle,NENA/Middle East,35,N/A,N/A,
15869,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,NENA/Middle East,46,N/A,N/A,
15870,High-Productivity,Daily Spread,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15871,High-Productivity,Digester,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15872,High-Productivity,Burned For Fuel,Dairy Cattle,NENA/Middle East,5,N/A,N/A,
15873,High-Productivity,Pit<1Month,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15875,High-Productivity,Poultry Manure,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15876,High-Productivity,Deep Bedding,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15877,High-Productivity,Composting,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15878,High-Productivity,Aerobic Treatment,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
15879,High-Productivity,Lagoon,Dairy Cattle,South Asia,0,N/A,N/A,
15880,High-Productivity,Liquid/Slurry,Dairy Cattle,South Asia,0,N/A,N/A,
15881,High-Productivity,Solid Storage,Dairy Cattle,South Asia,1,N/A,N/A,
15882,High-Productivity,Dry Lot,Dairy Cattle,South Asia,49,N/A,N/A,
15883,High-Productivity,Pasture/Range/Paddock,Dairy Cattle,South Asia,30,N/A,N/A,
15884,High-Productivity,Daily Spread,Dairy Cattle,South Asia,0,N/A,N/A,
15885,High-Productivity,Digester,Dairy Cattle,South Asia,0,N/A,N/A,
15886,High-Productivity,Burned For Fuel,Dairy Cattle,South Asia,20,N/A,N/A,
15887,High-Productivity,Pit<1Month,Dairy Cattle,South Asia,0,N/A,N/A,
15889,High-Productivity,Poultry Manure,Dairy Cattle,South Asia,0,N/A,N/A,
15890,High-Productivity,Deep Bedding,Dairy Cattle,South Asia,0,N/A,N/A,
15891,High-Productivity,Composting,Dairy Cattle,South Asia,0,N/A,N/A,
15892,High-Productivity,Aerobic Treatment,Dairy Cattle,South Asia,0,N/A,N/A,
15893,Low-Productivity,Lagoon,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15894,Low-Productivity,Liquid/Slurry,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15895,Low-Productivity,Solid Storage,Dairy Cattle,Sub-Saharan Africa,20,N/A,N/A,
15896,Low-Productivity,Dry Lot,Dairy Cattle,Sub-Saharan Africa,29,N/A,N/A,
15897,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,Sub-Saharan Africa,45,N/A,N/A,
15898,Low-Productivity,Daily Spread,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15899,Low-Productivity,Digester,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15900,Low-Productivity,Burned For Fuel,Dairy Cattle,Sub-Saharan Africa,6,N/A,N/A,
15901,Low-Productivity,Pit<1Month,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15903,Low-Productivity,Poultry Manure,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15904,Low-Productivity,Deep Bedding,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15905,Low-Productivity,Composting,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15906,Low-Productivity,Aerobic Treatment,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
15907,Low-Productivity,Lagoon,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15908,Low-Productivity,Liquid/Slurry,Dairy Cattle,East Asia And South-East Asia,1,N/A,N/A,
15909,Low-Productivity,Solid Storage,Dairy Cattle,East Asia And South-East Asia,21,N/A,N/A,
15910,Low-Productivity,Dry Lot,Dairy Cattle,East Asia And South-East Asia,29,N/A,N/A,
15911,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,East Asia And South-East Asia,38,N/A,N/A,
15912,Low-Productivity,Daily Spread,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15913,Low-Productivity,Digester,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15914,Low-Productivity,Burned For Fuel,Dairy Cattle,East Asia And South-East Asia,11,N/A,N/A,
15915,Low-Productivity,Pit<1Month,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15917,Low-Productivity,Poultry Manure,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15918,Low-Productivity,Deep Bedding,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15919,Low-Productivity,Composting,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15920,Low-Productivity,Aerobic Treatment,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
15921,Low-Productivity,Lagoon,Dairy Cattle,North America,26,N/A,N/A,
15922,Low-Productivity,Liquid/Slurry,Dairy Cattle,North America,24,N/A,N/A,
15923,Low-Productivity,Solid Storage,Dairy Cattle,North America,24,N/A,N/A,
15924,Low-Productivity,Dry Lot,Dairy Cattle,North America,0,N/A,N/A,
15925,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,North America,15,N/A,N/A,
15926,Low-Productivity,Daily Spread,Dairy Cattle,North America,11,N/A,N/A,
15927,Low-Productivity,Digester,Dairy Cattle,North America,0,N/A,N/A,
15928,Low-Productivity,Burned For Fuel,Dairy Cattle,North America,0,N/A,N/A,
15929,Low-Productivity,Pit<1Month,Dairy Cattle,North America,0,N/A,N/A,
15931,Low-Productivity,Poultry Manure,Dairy Cattle,North America,0,N/A,N/A,
15932,Low-Productivity,Deep Bedding,Dairy Cattle,North America,0,N/A,N/A,
15933,Low-Productivity,Composting,Dairy Cattle,North America,0,N/A,N/A,
15934,Low-Productivity,Aerobic Treatment,Dairy Cattle,North America,0,N/A,N/A,
15935,Low-Productivity,Lagoon,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15936,Low-Productivity,Liquid/Slurry,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15937,Low-Productivity,Solid Storage,Dairy Cattle,Latin America And The Caribbean,5,N/A,N/A,
15938,Low-Productivity,Dry Lot,Dairy Cattle,Latin America And The Caribbean,38,N/A,N/A,
15939,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,Latin America And The Caribbean,57,N/A,N/A,
15940,Low-Productivity,Daily Spread,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15941,Low-Productivity,Digester,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15942,Low-Productivity,Burned For Fuel,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15943,Low-Productivity,Pit<1Month,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15945,Low-Productivity,Poultry Manure,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15946,Low-Productivity,Deep Bedding,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15947,Low-Productivity,Composting,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15948,Low-Productivity,Aerobic Treatment,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
15949,Low-Productivity,Lagoon,Dairy Cattle,Western Europe,0,N/A,N/A,
15950,Low-Productivity,Liquid/Slurry,Dairy Cattle,Western Europe,43,N/A,N/A,
15951,Low-Productivity,Solid Storage,Dairy Cattle,Western Europe,29,N/A,N/A,
15952,Low-Productivity,Dry Lot,Dairy Cattle,Western Europe,0,N/A,N/A,
15953,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,Western Europe,26,N/A,N/A,
15954,Low-Productivity,Daily Spread,Dairy Cattle,Western Europe,2,N/A,N/A,
15955,Low-Productivity,Digester,Dairy Cattle,Western Europe,0,N/A,N/A,
15956,Low-Productivity,Burned For Fuel,Dairy Cattle,Western Europe,0,N/A,N/A,
15957,Low-Productivity,Pit<1Month,Dairy Cattle,Western Europe,0,N/A,N/A,
15959,Low-Productivity,Poultry Manure,Dairy Cattle,Western Europe,0,N/A,N/A,
15960,Low-Productivity,Deep Bedding,Dairy Cattle,Western Europe,0,N/A,N/A,
15961,Low-Productivity,Composting,Dairy Cattle,Western Europe,0,N/A,N/A,
15962,Low-Productivity,Aerobic Treatment,Dairy Cattle,Western Europe,0,N/A,N/A,
15963,Low-Productivity,Lagoon,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15964,Low-Productivity,Liquid/Slurry,Dairy Cattle,Eastern Europe,5,N/A,N/A,
15965,Low-Productivity,Solid Storage,Dairy Cattle,Eastern Europe,74,N/A,N/A,
15966,Low-Productivity,Dry Lot,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15967,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,Eastern Europe,20,N/A,N/A,
15968,Low-Productivity,Daily Spread,Dairy Cattle,Eastern Europe,1,N/A,N/A,
15969,Low-Productivity,Digester,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15970,Low-Productivity,Burned For Fuel,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15971,Low-Productivity,Pit<1Month,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15973,Low-Productivity,Poultry Manure,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15974,Low-Productivity,Deep Bedding,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15975,Low-Productivity,Composting,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15976,Low-Productivity,Aerobic Treatment,Dairy Cattle,Eastern Europe,0,N/A,N/A,
15977,Low-Productivity,Lagoon,Dairy Cattle,Russian Federation,0,N/A,N/A,
15978,Low-Productivity,Liquid/Slurry,Dairy Cattle,Russian Federation,5,N/A,N/A,
15979,Low-Productivity,Solid Storage,Dairy Cattle,Russian Federation,74,N/A,N/A,
15980,Low-Productivity,Dry Lot,Dairy Cattle,Russian Federation,0,N/A,N/A,
15981,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,Russian Federation,20,N/A,N/A,
15982,Low-Productivity,Daily Spread,Dairy Cattle,Russian Federation,1,N/A,N/A,
15983,Low-Productivity,Digester,Dairy Cattle,Russian Federation,0,N/A,N/A,
15984,Low-Productivity,Burned For Fuel,Dairy Cattle,Russian Federation,0,N/A,N/A,
15985,Low-Productivity,Pit<1Month,Dairy Cattle,Russian Federation,0,N/A,N/A,
15987,Low-Productivity,Poultry Manure,Dairy Cattle,Russian Federation,0,N/A,N/A,
15988,Low-Productivity,Deep Bedding,Dairy Cattle,Russian Federation,0,N/A,N/A,
15989,Low-Productivity,Composting,Dairy Cattle,Russian Federation,0,N/A,N/A,
15990,Low-Productivity,Aerobic Treatment,Dairy Cattle,Russian Federation,0,N/A,N/A,
15991,Low-Productivity,Lagoon,Dairy Cattle,Oceania,5,N/A,N/A,
15992,Low-Productivity,Liquid/Slurry,Dairy Cattle,Oceania,0,N/A,N/A,
15993,Low-Productivity,Solid Storage,Dairy Cattle,Oceania,0,N/A,N/A,
15994,Low-Productivity,Dry Lot,Dairy Cattle,Oceania,0,N/A,N/A,
15995,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,Oceania,94,N/A,N/A,
15996,Low-Productivity,Daily Spread,Dairy Cattle,Oceania,1,N/A,N/A,
15997,Low-Productivity,Digester,Dairy Cattle,Oceania,0,N/A,N/A,
15998,Low-Productivity,Burned For Fuel,Dairy Cattle,Oceania,0,N/A,N/A,
15999,Low-Productivity,Pit<1Month,Dairy Cattle,Oceania,0,N/A,N/A,
16001,Low-Productivity,Poultry Manure,Dairy Cattle,Oceania,0,N/A,N/A,
16002,Low-Productivity,Deep Bedding,Dairy Cattle,Oceania,0,N/A,N/A,
16003,Low-Productivity,Composting,Dairy Cattle,Oceania,0,N/A,N/A,
16004,Low-Productivity,Aerobic Treatment,Dairy Cattle,Oceania,0,N/A,N/A,
16005,Low-Productivity,Lagoon,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16006,Low-Productivity,Liquid/Slurry,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16007,Low-Productivity,Solid Storage,Dairy Cattle,NENA/Middle East,14,N/A,N/A,
16008,Low-Productivity,Dry Lot,Dairy Cattle,NENA/Middle East,35,N/A,N/A,
16009,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,NENA/Middle East,46,N/A,N/A,
16010,Low-Productivity,Daily Spread,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16011,Low-Productivity,Digester,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16012,Low-Productivity,Burned For Fuel,Dairy Cattle,NENA/Middle East,5,N/A,N/A,
16013,Low-Productivity,Pit<1Month,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16015,Low-Productivity,Poultry Manure,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16016,Low-Productivity,Deep Bedding,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16017,Low-Productivity,Composting,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16018,Low-Productivity,Aerobic Treatment,Dairy Cattle,NENA/Middle East,0,N/A,N/A,
16019,Low-Productivity,Lagoon,Dairy Cattle,South Asia,0,N/A,N/A,
16020,Low-Productivity,Liquid/Slurry,Dairy Cattle,South Asia,0,N/A,N/A,
16021,Low-Productivity,Solid Storage,Dairy Cattle,South Asia,1,N/A,N/A,
16022,Low-Productivity,Dry Lot,Dairy Cattle,South Asia,49,N/A,N/A,
16023,Low-Productivity,Pasture/Range/Paddock,Dairy Cattle,South Asia,30,N/A,N/A,
16024,Low-Productivity,Daily Spread,Dairy Cattle,South Asia,0,N/A,N/A,
16025,Low-Productivity,Digester,Dairy Cattle,South Asia,0,N/A,N/A,
16026,Low-Productivity,Burned For Fuel,Dairy Cattle,South Asia,20,N/A,N/A,
16027,Low-Productivity,Pit<1Month,Dairy Cattle,South Asia,0,N/A,N/A,
16029,Low-Productivity,Poultry Manure,Dairy Cattle,South Asia,0,N/A,N/A,
16030,Low-Productivity,Deep Bedding,Dairy Cattle,South Asia,0,N/A,N/A,
16031,Low-Productivity,Composting,Dairy Cattle,South Asia,0,N/A,N/A,
16032,Low-Productivity,Aerobic Treatment,Dairy Cattle,South Asia,0,N/A,N/A,
16033,Default,Lagoon,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16034,Default,Liquid/Slurry,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16035,Default,Solid Storage,Dairy Cattle,Sub-Saharan Africa,20,N/A,N/A,
16036,Default,Dry Lot,Dairy Cattle,Sub-Saharan Africa,29,N/A,N/A,
16037,Default,Pasture/Range/Paddock,Dairy Cattle,Sub-Saharan Africa,45,N/A,N/A,
16038,Default,Daily Spread,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16039,Default,Digester,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16040,Default,Burned For Fuel,Dairy Cattle,Sub-Saharan Africa,6,N/A,N/A,
16041,Default,Pit<1Month,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16043,Default,Poultry Manure,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16044,Default,Deep Bedding,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16045,Default,Composting,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16046,Default,Aerobic Treatment,Dairy Cattle,Sub-Saharan Africa,0,N/A,N/A,
16047,Default,Lagoon,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16048,Default,Liquid/Slurry,Dairy Cattle,East Asia And South-East Asia,1,N/A,N/A,
16049,Default,Solid Storage,Dairy Cattle,East Asia And South-East Asia,21,N/A,N/A,
16050,Default,Dry Lot,Dairy Cattle,East Asia And South-East Asia,29,N/A,N/A,
16051,Default,Pasture/Range/Paddock,Dairy Cattle,East Asia And South-East Asia,38,N/A,N/A,
16052,Default,Daily Spread,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16053,Default,Digester,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16054,Default,Burned For Fuel,Dairy Cattle,East Asia And South-East Asia,11,N/A,N/A,
16055,Default,Pit<1Month,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16057,Default,Poultry Manure,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16058,Default,Deep Bedding,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16059,Default,Composting,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16060,Default,Aerobic Treatment,Dairy Cattle,East Asia And South-East Asia,0,N/A,N/A,
16061,Default,Lagoon,Dairy Cattle,North America,26,N/A,N/A,
16062,Default,Liquid/Slurry,Dairy Cattle,North America,24,N/A,N/A,
16063,Default,Solid Storage,Dairy Cattle,North America,24,N/A,N/A,
16064,Default,Dry Lot,Dairy Cattle,North America,0,N/A,N/A,
16065,Default,Pasture/Range/Paddock,Dairy Cattle,North America,15,N/A,N/A,
16066,Default,Daily Spread,Dairy Cattle,North America,11,N/A,N/A,
16067,Default,Digester,Dairy Cattle,North America,0,N/A,N/A,
16068,Default,Burned For Fuel,Dairy Cattle,North America,0,N/A,N/A,
16069,Default,Pit<1Month,Dairy Cattle,North America,0,N/A,N/A,
16071,Default,Poultry Manure,Dairy Cattle,North America,0,N/A,N/A,
16072,Default,Deep Bedding,Dairy Cattle,North America,0,N/A,N/A,
16073,Default,Composting,Dairy Cattle,North America,0,N/A,N/A,
16074,Default,Aerobic Treatment,Dairy Cattle,North America,0,N/A,N/A,
16075,Default,Lagoon,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
16076,Default,Liquid/Slurry,Dairy Cattle,Latin America And The Caribbean,0,N/A,N/A,
