climate;moisture;emission_type;livestock_category_type;livestock_production_type;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1Month;Poultry manure;Deep bedding;Composting;Aerobic treatment
Tropical;Dry;CH4;Dairy Buffalo;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Other Buffalo;High-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Other Buffalo;High-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Other Buffalo;High-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Other Buffalo;High-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Other Buffalo;High-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Other Buffalo;High-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Other Buffalo;High-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Other Buffalo;High-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Other Buffalo;High-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Other Buffalo;High-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Other Buffalo;High-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Other Buffalo;High-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Other Buffalo;Low-Productivity;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Other Buffalo;Low-Productivity;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Other Buffalo;Low-Productivity;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Other Buffalo;Low-Productivity;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Other Buffalo;Low-Productivity;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Other Buffalo;Low-Productivity;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Other Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Other Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Other Buffalo;Low-Productivity;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Other Buffalo;Low-Productivity;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Other Buffalo;Low-Productivity;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Other Buffalo;Low-Productivity;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Other Buffalo;Default;52,3;18,3;1,7;0,9;0,6;0,1;9,2;8,7;0;18,3;0;0;0;0
Cool Temperate;Dry;CH4;Other Buffalo;Default;58,4;22,6;1,7;0,9;0,6;0,1;9,2;8,7;0;22,6;0;0;0;0
Boreal;Moist;CH4;Other Buffalo;Default;43,6;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Boreal;Dry;CH4;Other Buffalo;Default;42,7;12,2;1,7;0,9;0,6;0,1;9,2;8,7;0;12,2;0;0;0;0
Warm Temperate;Moist;CH4;Other Buffalo;Default;63,6;32,2;3,5;1,3;0,6;0,4;9,5;8,7;0;32,2;0;0;0;0
Warm Temperate;Dry;CH4;Other Buffalo;Default;66,2;35,7;3,5;1,3;0,6;0,4;9,5;8,7;0;35,7;0;0;0;0
Tropical Montane;Dry;CH4;Other Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Moist;CH4;Other Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical Montane;Wet;CH4;Other Buffalo;Default;66,2;51,4;4,4;1,7;0,6;0,9;9,5;8,7;0;51,4;0;0;0;0
Tropical;Wet;CH4;Other Buffalo;Default;69,7;66,2;4,4;1,7;0,6;0,9;9,5;8,7;0;66,2;0;0;0;0
Tropical;Moist;CH4;Other Buffalo;Default;69,7;63,6;4,4;1,7;0,6;0,9;9,5;8,7;0;63,6;0;0;0;0
Tropical;Dry;CH4;Other Buffalo;Default;69,7;64,5;4,4;1,7;0,6;0,9;9,5;8,7;0;64,5;0;0;0;0
Cool Temperate;Moist;CH4;Growing Swine;High-Productivity;180,9;63,3;6;3;0,6;0,3;6;30,2;18,1;63,3;0;0;0;0
Cool Temperate;Dry;CH4;Growing Swine;High-Productivity;202;78,4;6;3;0,6;0,3;6;30,2;24,1;78,4;0;0;0;0
Boreal;Moist;CH4;Growing Swine;High-Productivity;150,8;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
Boreal;Dry;CH4;Growing Swine;High-Productivity;147,7;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
Warm Temperate;Moist;CH4;Growing Swine;High-Productivity;220,1;111,6;12,1;4,5;0,6;1,5;6,8;30,2;39,2;111,6;0;0;0;0
Warm Temperate;Dry;CH4;Growing Swine;High-Productivity;229,1;123,6;12,1;4,5;0,6;1,5;6,8;30,2;45,2;123,6;0;0;0;0
Tropical Montane;Dry;CH4;Growing Swine;High-Productivity;229,1;177,9;15,1;6;0,6;3;7;30,2;75,4;177,9;0;0;0;0
Tropical Montane;Moist;CH4;Growing Swine;High-Productivity;229,1;177,9;15,1;6;0,6;3;7;30,2;75,4;177,9;0;0;0;0
Tropical Montane;Wet;CH4;Growing Swine;High-Productivity;229,1;177,9;15,1;6;0,6;3;7;30,2;75,4;177,9;0;0;0;0
Tropical;Wet;CH4;Growing Swine;High-Productivity;241,2;229,1;15,1;6;0,6;3;7;30,2;114,6;229,1;0;0;0;0
Tropical;Moist;CH4;Growing Swine;High-Productivity;241,2;220,1;15,1;6;0,6;3;7;30,2;108,5;220,1;0;0;0;0
Tropical;Dry;CH4;Growing Swine;High-Productivity;241,2;223,1;15,1;6;0,6;3;7;30,2;126,6;223,1;0;0;0;0
Cool Temperate;Moist;CH4;Growing Swine;Low-Productivity;116,6;40,8;3,9;1,9;0,6;0,2;20,6;19,4;11,7;40,8;0;0;0;0
Cool Temperate;Dry;CH4;Growing Swine;Low-Productivity;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
Boreal;Moist;CH4;Growing Swine;Low-Productivity;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
Boreal;Dry;CH4;Growing Swine;Low-Productivity;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
Warm Temperate;Moist;CH4;Growing Swine;Low-Productivity;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
Warm Temperate;Dry;CH4;Growing Swine;Low-Productivity;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
Tropical Montane;Dry;CH4;Growing Swine;Low-Productivity;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
Tropical Montane;Moist;CH4;Growing Swine;Low-Productivity;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
Tropical Montane;Wet;CH4;Growing Swine;Low-Productivity;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
Tropical;Wet;CH4;Growing Swine;Low-Productivity;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
Tropical;Moist;CH4;Growing Swine;Low-Productivity;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
Tropical;Dry;CH4;Growing Swine;Low-Productivity;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
Cool Temperate;Dry;CH4;Growing Swine;Default;130,2;50,5;3,9;1,9;0,6;0,2;20,6;19,4;15,5;50,5;0;0;0;0
Boreal;Moist;CH4;Growing Swine;Default;97,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
Boreal;Dry;CH4;Growing Swine;Default;95,2;27,2;3,9;1,9;0,6;0,2;20,6;19,4;7,8;27,2;0;0;0;0
Warm Temperate;Moist;CH4;Growing Swine;Default;141,8;71,9;7,8;2,9;0,6;1;21,1;19,4;25,3;71,9;0;0;0;0
Warm Temperate;Dry;CH4;Growing Swine;Default;147,7;79,7;7,8;2,9;0,6;1;21,1;19,4;29,1;79,7;0;0;0;0
Tropical Montane;Dry;CH4;Growing Swine;Default;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
Tropical Montane;Moist;CH4;Growing Swine;Default;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
Tropical Montane;Wet;CH4;Growing Swine;Default;147,7;114,6;9,7;3,9;0,6;1,9;21,2;19,4;48,6;114,6;0;0;0;0
Tropical;Wet;CH4;Growing Swine;Default;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
Tropical;Moist;CH4;Growing Swine;Default;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
Tropical;Dry;CH4;Growing Swine;Default;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
Cool Temperate;Moist;CH4;Breeding Swine;High-Productivity;180,9;63,3;6;3;0,6;0,3;6;30,2;18,1;63,3;0;0;0;0
Cool Temperate;Dry;CH4;Breeding Swine;High-Productivity;202;78,4;6;3;0,6;0,3;6;30,2;24,1;78,4;0;0;0;0
Boreal;Moist;CH4;Breeding Swine;High-Productivity;150,8;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
Boreal;Dry;CH4;Breeding Swine;High-Productivity;147,7;42,2;6;3;0,6;0,3;6;30,2;12,1;42,2;0;0;0;0
