climate;moisture;region;Annual cropland;Set Aside;Flooded rice;Grassland;Other Land (Non-Vegetated);Settlement;Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Other Land;Olive;Orchard;Short Rotation Coppice;Tea;Vine;Oil palm;Rubber
Tropical;Moist;Eastern Asia;4,7;4,7;4,7;7,567;0;0;2,875;3,17;6,57;0,58;3,76;0,8;2,57;1,85;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;South-eastern Asia;4,7;4,7;4,7;7,567;0;0;2,875;3,17;6,57;0,58;3,76;0,8;2,57;1,85;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Southern Asia;4,7;4,7;4,7;7,567;0;0;2,875;3,17;6,57;0,58;3,76;0,8;2,57;1,85;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Western Asia;4,7;4,7;4,7;7,567;0;0;2,875;3,17;6,57;0,58;3,76;0,8;2,57;1,85;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Europe;4,7;4,7;4,7;7,567;0;0;3,1025;3,17;6,57;0,58;3,75;0,8;3;3,25;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Oceania;4,7;4,7;4,7;7,567;0;0;3,1025;3,17;6,57;0,58;3,75;0,8;3;3,25;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;North America;4,7;4,7;4,7;7,567;0;0;3,1025;3,17;6,57;0,58;3,75;0,8;3;3,25;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;South America;4,7;4,7;4,7;7,567;0;0;3,19875;3,17;6,57;0,58;3,75;0,8;3,77;3,25;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Central America;4,7;4,7;4,7;7,567;0;0;3,06;2,83;6,57;0,58;3,75;0,8;3;3,25;3,7;0;0;0;0;0,7;0;2,4;3
Tropical;Moist;Caribbean;4,7;4,7;4,7;7,567;0;0;3,1025;3,17;6,57;0,58;3,75;0,8;3;3,25;3,7;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Eastern Africa;4,7;4,7;4,7;4,09;0;0;2,748125;2,92;4,24;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Central Africa;4,7;4,7;4,7;4,09;0;0;2,748125;2,92;4,24;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Northern Africa;4,7;4,7;4,7;4,09;0;0;2,748125;2,92;4,24;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Southern Africa;4,7;4,7;4,7;4,09;0;0;2,748125;2,92;4,24;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Western Africa;4,7;4,7;4,7;4,09;0;0;2,748125;2,92;4,24;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Central Asia;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Eastern Asia;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;South-eastern Asia;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Southern Asia;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Western Asia;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Europe;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Oceania;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;North America;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;South America;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Central America;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical Montane;Dry;Caribbean;4,7;4,7;4,7;4,09;0;0;2,956875;2,92;5,91;0,84;4,05;0,8;2,95;2,82;3,365;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Eastern Africa;4,7;4,7;4,7;7,567;0;0;2,9225;2,33;7,7;0,53;3,58;0,8;3,87;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Central Africa;4,7;4,7;4,7;7,567;0;0;2,9225;2,33;7,7;0,53;3,58;0,8;3,87;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Northern Africa;4,7;4,7;4,7;7,567;0;0;2,9225;2,33;7,7;0,53;3,58;0,8;3,87;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Southern Africa;4,7;4,7;4,7;7,567;0;0;2,9225;2,33;7,7;0,53;3,58;0,8;3,87;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Western Africa;4,7;4,7;4,7;7,567;0;0;2,9225;2,33;7,7;0,53;3,58;0,8;3,87;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Central Asia;4,7;4,7;4,7;7,567;0;0;2,36375;2,33;2,48;0,53;5,99;0,8;2,21;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Eastern Asia;4,7;4,7;4,7;7,567;0;0;2,36375;2,33;2,48;0,53;5,99;0,8;2,21;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;South-eastern Asia;4,7;4,7;4,7;7,567;0;0;2,36375;2,33;2,48;0,53;5,99;0,8;2,21;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Southern Asia;4,7;4,7;4,7;7,567;0;0;2,36375;2,33;2,48;0,53;5,99;0,8;2,21;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Western Asia;4,7;4,7;4,7;7,567;0;0;2,36375;2,33;2,48;0,53;5,99;0,8;2,21;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Europe;4,7;4,7;4,7;7,567;0;0;2,6225;2,33;5,69;0,53;4,16;0,8;2,9;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Oceania;4,7;4,7;4,7;7,567;0;0;2,6225;2,33;5,69;0,53;4,16;0,8;2,9;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;North America;4,7;4,7;4,7;7,567;0;0;2,6225;2,33;5,69;0,53;4,16;0,8;2,9;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;South America;4,7;4,7;4,7;7,567;0;0;2,6375;2,33;5,9;0,53;3,3;0,8;3,67;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Central America;4,7;4,7;4,7;7,567;0;0;2,5925;2,33;5,69;0,53;4,03;0,8;2,79;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Tropical;Wet;Caribbean;4,7;4,7;4,7;7,567;0;0;2,6225;2,33;5,69;0,53;4,16;0,8;2,9;4,5;0,07;0;0;0;0;0,7;0;2,4;3
Boreal;Dry;Eastern Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Central Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Northern Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Southern Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Western Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Central Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Eastern Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;South-eastern Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Southern Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Western Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Europe;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Oceania;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;North America;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;South America;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Central America;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Dry;Caribbean;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Eastern Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Central Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Northern Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Southern Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Western Africa;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Central Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Eastern Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;South-eastern Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Southern Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
Boreal;Moist;Western Asia;4,7;4,7;4,7;3,995;0;0;1,756666667;;;1,1;;;;1,14;3,03;0;0,46;0,43;3,2;0,7;0,28;0;0
