climate;moisture;region;Annual cropland;Set Aside;Flooded rice;Grassland;Other Land (Non-Vegetated);Agroforestry - default;Alley cropping;Perennial fallow;Hedgerow;Multistrata;Parkland;Shaded Perennial;Silvoarable;Silvopasture;Other Land;Olive;Orchard;Short Rotation Coppice;Tea;Vine;Oil palm;Rubber
Cool Temperate;Dry;North America;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;South America;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Central America;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Dry;Caribbean;4,7;4,7;4,7;3,055;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Eastern Africa;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Central Africa;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Northern Africa;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Southern Africa;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Western Africa;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Central Asia;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Eastern Asia;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;South-eastern Asia;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Southern Asia;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Western Asia;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Europe;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Oceania;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;North America;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;South America;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Central America;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Cool Temperate;Moist;Caribbean;4,7;4,7;4,7;6,392;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Eastern Africa;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Central Africa;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Northern Africa;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Southern Africa;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Western Africa;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Central Asia;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Eastern Asia;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;South-eastern Asia;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Southern Asia;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Western Asia;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Europe;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Oceania;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;North America;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;South America;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Central America;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Dry;Caribbean;4,7;4,7;4,7;2,867;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Eastern Africa;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Central Africa;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Northern Africa;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Southern Africa;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Western Africa;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Central Asia;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Eastern Asia;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;South-eastern Asia;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Southern Asia;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Western Asia;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Europe;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Oceania;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;North America;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;South America;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Central America;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Warm Temperate;Moist;Caribbean;4,7;4,7;4,7;6,345;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Tropical;Dry;Eastern Africa;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Central Africa;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Northern Africa;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Southern Africa;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Western Africa;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Central Asia;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Eastern Asia;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;South-eastern Asia;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Southern Asia;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Western Asia;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Europe;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Oceania;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;North America;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;South America;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Central America;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Dry;Caribbean;4,7;4,7;4,7;4,089;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Eastern Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Central Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Northern Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Southern Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Western Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Central Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Eastern Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;South-eastern Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Southern Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Western Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Europe;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Oceania;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;North America;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;South America;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Central America;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Moist;Caribbean;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Eastern Africa;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Central Africa;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Northern Africa;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Southern Africa;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Western Africa;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Central Asia;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Eastern Asia;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;South-eastern Asia;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Southern Asia;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Western Asia;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Europe;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Oceania;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;North America;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;South America;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Central America;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical Montane;Dry;Caribbean;4,7;4,7;4,7;4,09;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Eastern Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Central Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Northern Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Southern Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Western Africa;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Central Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Eastern Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;South-eastern Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Southern Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Western Asia;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Europe;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Oceania;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;North America;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;South America;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Central America;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Tropical;Wet;Caribbean;4,7;4,7;4,7;7,567;0;20,8875;23,7;11,1;4,7;32,5;5,9;24;36,1;29,1;1;;;;18,3;;30;40,1
Boreal;Dry;Eastern Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Central Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Northern Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Southern Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Western Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Central Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Eastern Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;South-eastern Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Southern Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Western Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Europe;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Oceania;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;North America;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;South America;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Central America;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Dry;Caribbean;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Eastern Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Central Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Northern Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Southern Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Western Africa;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Central Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Eastern Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;South-eastern Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Southern Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Western Asia;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Europe;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Oceania;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;North America;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;South America;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Central America;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
Boreal;Moist;Caribbean;4,7;4,7;4,7;3,995;0;20,6;;;13,1;;;;13,7;35;1;6,9;6,4;6,35;18,3;2,8;;
