emission_type;livestock_category;climate;moisture;Lagoon;Liquid/slurry;Solid storage;Dry lot;Pasture/Range/Paddock;Daily spread;Digester;Burned for fuel;Pit<1Month;Pit>1 month;Poultry manure;Deep bedding;Composting;Aerobic treatment
CH4;Swine LP;Tropical;Wet;155,4;147,7;9,7;3,9;0,6;1,9;21,2;19,4;73,8;147,7;0;0;0;0
CH4;Swine LP;Tropical;Moist;155,4;141,8;9,7;3,9;0,6;1,9;21,2;19,4;69,9;141,8;0;0;0;0
CH4;Swine LP;Tropical;Dry;155,4;143,8;9,7;3,9;0,6;1,9;21,2;19,4;81,6;143,8;0;0;0;0
CH4;Poultry HP;Cool Temperate;Moist;156,8;54,9;5,2;2,6;0,6;0;5,2;2,6;0;54,9;0;0;0;0
CH4;Poultry HP;Cool Temperate;Dry;175,1;67,9;5,2;2,6;0,6;0;5,2;2,6;0;67,9;0;0;0;0
CH4;Poultry HP;Boreal;Moist;130,7;36,6;5,2;2,6;0,6;0;5,2;2,6;0;36,6;0;0;0;0
CH4;Poultry HP;Boreal;Dry;128;36,6;5,2;2,6;0,6;0;5,2;2,6;0;36,6;0;0;0;0
CH4;Poultry HP;Warm Temperate;Moist;190,7;96,7;10,5;3,9;0,6;0;10,5;2,6;0;96,7;0;0;0;0
CH4;Poultry HP;Warm Temperate;Dry;198,6;107,1;10,5;3,9;0,6;0;10,5;2,6;0;107,1;0;0;0;0
CH4;Poultry HP;Tropical;Montane;198,6;154,2;13,1;5,2;0,6;0;13,1;2,6;0;154,2;0;0;0;0
CH4;Poultry HP;Tropical;Wet;209;198,6;13,1;5,2;0,6;0;13,1;2,6;0;198,6;0;0;0;0
CH4;Poultry HP;Tropical;Moist;209;190,7;13,1;5,2;0,6;0;13,1;2,6;0;190,7;0;0;0;0
CH4;Poultry HP;Tropical;Dry;209;193,4;13,1;5,2;0,6;0;13,1;2,6;0;193,4;0;0;0;0
CH4;Poultry LP;Cool Temperate;Moist;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Cool Temperate;Dry;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Boreal;Moist;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Boreal;Dry;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Warm Temperate;Moist;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Warm Temperate;Dry;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Tropical;Montane;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Tropical;Wet;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Tropical;Moist;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Poultry LP;Tropical;Dry;2,4;2,4;2,4;2,4;0,6;2,4;2,4;2,4;2,4;2,4;2,4;0;0;0
CH4;Sheep HP;Cool Temperate;Moist;0;0;2,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Cool Temperate;Dry;0;0;2,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Boreal;Moist;0;0;2,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Boreal;Dry;0;0;2,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Warm Temperate;Moist;0;0;5,1;1,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Warm Temperate;Dry;0;0;5,1;1,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Tropical;Montane;0;0;6,4;2,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Tropical;Wet;0;0;6,4;2,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Tropical;Moist;0;0;6,4;2,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep HP;Tropical;Dry;0;0;6,4;2,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Cool Temperate;Moist;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Cool Temperate;Dry;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Boreal;Moist;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Boreal;Dry;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Warm Temperate;Moist;0;0;3,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Warm Temperate;Dry;0;0;3,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Tropical;Montane;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Tropical;Wet;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Tropical;Moist;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Sheep LP;Tropical;Dry;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Cool Temperate;Moist;0;0;2,4;1,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Cool Temperate;Dry;0;0;2,4;1,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Boreal;Moist;0;0;2,4;1,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Boreal;Dry;0;0;2,4;1,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Warm Temperate;Moist;0;0;4,8;1,8;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Warm Temperate;Dry;0;0;4,8;1,8;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Tropical;Montane;0;0;6;2,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Tropical;Wet;0;0;6;2,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Tropical;Moist;0;0;6;2,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat HP;Tropical;Dry;0;0;6;2,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Cool Temperate;Moist;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Cool Temperate;Dry;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Boreal;Moist;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Boreal;Dry;0;0;1,7;0,9;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Warm Temperate;Moist;0;0;3,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Warm Temperate;Dry;0;0;3,5;1,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Tropical;Montane;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Tropical;Wet;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Tropical;Moist;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Goat LP;Tropical;Dry;0;0;4,4;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Cool Temperate;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Cool Temperate;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Boreal;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Boreal;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Warm Temperate;Moist;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Warm Temperate;Dry;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Tropical;Montane;0;0;8,7;0;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Tropical;Wet;0;0;8,7;0;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Tropical;Moist;0;0;8,7;0;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels HP;Tropical;Dry;0;0;8,7;0;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Cool Temperate;Moist;0;0;2,8;1,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Cool Temperate;Dry;0;0;2,8;1,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Boreal;Moist;0;0;2,8;1,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Boreal;Dry;0;0;2,8;1,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Warm Temperate;Moist;0;0;5,6;2,1;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Warm Temperate;Dry;0;0;5,6;2,1;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Tropical;Montane;0;0;7;2,8;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Tropical;Wet;0;0;7;2,8;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Tropical;Moist;0;0;7;2,8;0,6;0;0;0;0;0;0;0;0;0
CH4;Camels LP;Tropical;Dry;0;0;7;2,8;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Cool Temperate;Moist;0;0;4;2;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Cool Temperate;Dry;0;0;4;2;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Boreal;Moist;0;0;4;2;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Boreal;Dry;0;0;4;2;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Warm Temperate;Moist;0;0;8;3;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Warm Temperate;Dry;0;0;8;3;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Tropical;Montane;0;0;10,1;4;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Tropical;Wet;0;0;10,1;4;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Tropical;Moist;0;0;10,1;4;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses HP;Tropical;Dry;0;0;10,1;4;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Cool Temperate;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Cool Temperate;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Boreal;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Boreal;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Warm Temperate;Moist;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Warm Temperate;Dry;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Tropical;Montane;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Tropical;Wet;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Tropical;Moist;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Horses LP;Tropical;Dry;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Cool Temperate;Moist;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Cool Temperate;Dry;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Boreal;Moist;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Boreal;Dry;0;0;4,4;2,2;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Warm Temperate;Moist;0;0;8,8;3,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Warm Temperate;Dry;0;0;8,8;3,3;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Tropical;Montane;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Tropical;Wet;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Tropical;Moist;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses HP;Tropical;Dry;0;0;11,1;4,4;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Cool Temperate;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Cool Temperate;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Boreal;Moist;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Boreal;Dry;0;0;3,5;1,7;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Warm Temperate;Moist;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Warm Temperate;Dry;0;0;7;2,6;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Tropical;Montane;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Tropical;Wet;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Tropical;Moist;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
CH4;Mules and Asses LP;Tropical;Dry;0;0;8,7;3,5;0,6;0;0;0;0;0;0;0;0;0
N2O Volatilization;Swine;Cool Temperate;Moist;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Cool Temperate;Dry;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Boreal;Moist;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Boreal;Dry;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Warm Temperate;Moist;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Warm Temperate;Dry;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Tropical;Montane;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Tropical;Wet;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Tropical;Moist;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Swine;Tropical;Dry;0,4;0,293333333;0,355;0,45;0,21;0,07;0,275;0;0,25;0,25;0;0,4;0,625;0,85
N2O Volatilization;Dairy cow;Cool Temperate;Moist;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Cool Temperate;Dry;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Boreal;Moist;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Boreal;Dry;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Warm Temperate;Moist;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Warm Temperate;Dry;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Tropical;Montane;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Tropical;Wet;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Tropical;Moist;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Dairy cow;Tropical;Dry;0,35;0,293333333;0,2325;0,3;0,21;0,07;0,275;0;0,28;0,28;0;0,25;0,475;0,85
N2O Volatilization;Poultry;Cool Temperate;Moist;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Cool Temperate;Dry;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Boreal;Moist;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Boreal;Dry;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Warm Temperate;Moist;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Warm Temperate;Dry;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Tropical;Montane;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Tropical;Wet;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Tropical;Moist;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Poultry;Tropical;Dry;0,4;0,4;0,325;0;0,21;0,07;0,275;0;0,28;0,28;0,44;0,3;0,625;0
N2O Volatilization;Other cattle;Cool Temperate;Moist;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
N2O Volatilization;Other cattle;Cool Temperate;Dry;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
N2O Volatilization;Other cattle;Boreal;Moist;0,35;0,293333333;0,355;0,3;0,21;0,07;0,275;0;0,25;0,25;0;0,25;0,625;0,85
