climate;moisture;land_use_type;grassland_management_type;value
Warm Temperate;Moist;Alley Cropping;;0,72
Warm Temperate;Dry;Alley Cropping;;0,72
Tropical;Moist;Alley Cropping;;1,01
Tropical;Dry;Alley Cropping;;1,01
Tropical;Wet;Alley Cropping;;1,01
Tropical Montane;Moist;Alley Cropping;;1
Tropical Montane;Dry;Alley Cropping;;1
Tropical Montane;Wet;Alley Cropping;;1
Boreal;Moist;Perennial Fallow;;0,72
Boreal;Dry;Perennial Fallow;;0,72
Cool Temperate;Moist;Perennial Fallow;;0,72
Cool Temperate;Dry;Perennial Fallow;;0,72
Warm Temperate;Moist;Perennial Fallow;;0,72
Warm Temperate;Dry;Perennial Fallow;;0,72
Tropical;Moist;Perennial Fallow;;1,01
Tropical;Dry;Perennial Fallow;;1,01
Tropical;Wet;Perennial Fallow;;1,01
Tropical Montane;Moist;Perennial Fallow;;1
Tropical Montane;Dry;Perennial Fallow;;1
Tropical Montane;Wet;Perennial Fallow;;1
Boreal;Moist;Hedgerow;;0,72
Boreal;Dry;Hedgerow;;0,72
Cool Temperate;Moist;Hedgerow;;0,72
Cool Temperate;Dry;Hedgerow;;0,72
Warm Temperate;Moist;Hedgerow;;0,72
Warm Temperate;Dry;Hedgerow;;0,72
Tropical;Moist;Hedgerow;;1,01
Tropical;Dry;Hedgerow;;1,01
Tropical;Wet;Hedgerow;;1,01
Tropical Montane;Moist;Hedgerow;;1
Tropical Montane;Dry;Hedgerow;;1
Tropical Montane;Wet;Hedgerow;;1
Boreal;Moist;Multistrata;;0,72
Boreal;Dry;Multistrata;;0,72
Cool Temperate;Moist;Multistrata;;0,72
Cool Temperate;Dry;Multistrata;;0,72
Warm Temperate;Moist;Multistrata;;0,72
Warm Temperate;Dry;Multistrata;;0,72
Tropical;Moist;Multistrata;;1,01
Tropical;Dry;Multistrata;;1,01
Tropical;Wet;Multistrata;;1,01
Tropical Montane;Moist;Multistrata;;1
Tropical Montane;Dry;Multistrata;;1
Tropical Montane;Wet;Multistrata;;1
Boreal;Moist;Parkland;;0,72
Boreal;Dry;Parkland;;0,72
Cool Temperate;Moist;Parkland;;0,72
Cool Temperate;Dry;Parkland;;0,72
Warm Temperate;Moist;Parkland;;0,72
Warm Temperate;Dry;Parkland;;0,72
Tropical;Moist;Parkland;;1,01
Tropical;Dry;Parkland;;1,01
Tropical;Wet;Parkland;;1,01
Tropical Montane;Moist;Parkland;;1
Tropical Montane;Dry;Parkland;;1
Tropical Montane;Wet;Parkland;;1
Boreal;Moist;Shaded Perennial;;0,72
Boreal;Dry;Shaded Perennial;;0,72
Cool Temperate;Moist;Shaded Perennial;;0,72
Cool Temperate;Dry;Shaded Perennial;;0,72
Warm Temperate;Moist;Shaded Perennial;;0,72
Warm Temperate;Dry;Shaded Perennial;;0,72
Tropical;Moist;Shaded Perennial;;1,01
Tropical;Dry;Shaded Perennial;;1,01
Tropical;Wet;Shaded Perennial;;1,01
Tropical Montane;Moist;Shaded Perennial;;1
Tropical Montane;Dry;Shaded Perennial;;1
Tropical Montane;Wet;Shaded Perennial;;1
Boreal;Moist;Silvoarable;;0,72
Boreal;Dry;Silvoarable;;0,72
Cool Temperate;Moist;Silvoarable;;0,72
Cool Temperate;Dry;Silvoarable;;0,72
Warm Temperate;Moist;Silvoarable;;0,72
Warm Temperate;Dry;Silvoarable;;0,72
Tropical;Moist;Silvoarable;;1,01
Tropical;Dry;Silvoarable;;1,01
Tropical;Wet;Silvoarable;;1,01
Tropical Montane;Moist;Silvoarable;;1
Tropical Montane;Dry;Silvoarable;;1
Tropical Montane;Wet;Silvoarable;;1
Boreal;Moist;Silvopasture;;0,72
Boreal;Dry;Silvopasture;;0,72
Cool Temperate;Moist;Silvopasture;;0,72
Cool Temperate;Dry;Silvopasture;;0,72
Warm Temperate;Moist;Silvopasture;;0,72
Warm Temperate;Dry;Silvopasture;;0,72
Tropical;Moist;Silvopasture;;1,01
Tropical;Dry;Silvopasture;;1,01
Tropical;Wet;Silvopasture;;1,01
Tropical Montane;Moist;Silvopasture;;1
Tropical Montane;Dry;Silvopasture;;1
Tropical Montane;Wet;Silvopasture;;1
Boreal;Moist;Oil Palm;;0,72
Boreal;Dry;Oil Palm;;0,72
Cool Temperate;Moist;Oil Palm;;0,72
Cool Temperate;Dry;Oil Palm;;0,72
Warm Temperate;Moist;Oil Palm;;0,72
Warm Temperate;Dry;Oil Palm;;0,72
Tropical;Moist;Oil Palm;;1,01
Tropical;Dry;Oil Palm;;1,01
Tropical;Wet;Oil Palm;;1,01
Tropical Montane;Moist;Oil Palm;;1
Tropical Montane;Dry;Oil Palm;;1
Tropical Montane;Wet;Oil Palm;;1
Boreal;Moist;Rubber;;0,72
Boreal;Dry;Rubber;;0,72
Cool Temperate;Moist;Rubber;;0,72
Cool Temperate;Dry;Rubber;;0,72
Warm Temperate;Moist;Rubber;;0,72
Warm Temperate;Dry;Rubber;;0,72
Tropical;Moist;Rubber;;1,01
Tropical;Dry;Rubber;;1,01
Tropical;Wet;Rubber;;1,01
Tropical Montane;Moist;Rubber;;1
Tropical Montane;Dry;Rubber;;1
Tropical Montane;Wet;Rubber;;1
Boreal;Moist;Tea;;0,72
Boreal;Dry;Tea;;0,72
Cool Temperate;Moist;Tea;;0,72
Cool Temperate;Dry;Tea;;0,72
Warm Temperate;Moist;Tea;;0,72
Warm Temperate;Dry;Tea;;0,72
Tropical;Moist;Tea;;1,01
Tropical;Dry;Tea;;1,01
Tropical;Wet;Tea;;1,01
Tropical Montane;Moist;Tea;;1
Tropical Montane;Dry;Tea;;1
Tropical Montane;Wet;Tea;;1
Boreal;Moist;Olive;;0,72
Boreal;Dry;Olive;;0,72
Cool Temperate;Moist;Olive;;0,72
Cool Temperate;Dry;Olive;;0,72
Warm Temperate;Moist;Olive;;0,72
Warm Temperate;Dry;Olive;;0,72
Tropical;Moist;Olive;;1,01
Tropical;Dry;Olive;;1,01
Tropical;Wet;Olive;;1,01
Tropical Montane;Moist;Olive;;1
Tropical Montane;Dry;Olive;;1
Tropical Montane;Wet;Olive;;1
Boreal;Moist;Orchard;;0,72
Boreal;Dry;Orchard;;0,72
Cool Temperate;Moist;Orchard;;0,72
Cool Temperate;Dry;Orchard;;0,72
Warm Temperate;Moist;Orchard;;0,72
Warm Temperate;Dry;Orchard;;0,72
Tropical;Moist;Orchard;;1,01
Tropical;Dry;Orchard;;1,01
Tropical;Wet;Orchard;;1,01
Tropical Montane;Moist;Orchard;;1
Tropical Montane;Dry;Orchard;;1
Tropical Montane;Wet;Orchard;;1
Boreal;Moist;Short Rotation Coppice;;0,72
Boreal;Dry;Short Rotation Coppice;;0,72
Cool Temperate;Moist;Short Rotation Coppice;;0,72
Cool Temperate;Dry;Short Rotation Coppice;;0,72
Warm Temperate;Moist;Short Rotation Coppice;;0,72
Warm Temperate;Dry;Short Rotation Coppice;;0,72
Tropical;Moist;Short Rotation Coppice;;1,01
Tropical;Dry;Short Rotation Coppice;;1,01
Tropical;Wet;Short Rotation Coppice;;1,01
Tropical Montane;Moist;Short Rotation Coppice;;1
Tropical Montane;Dry;Short Rotation Coppice;;1
Tropical Montane;Wet;Short Rotation Coppice;;1
Boreal;Moist;Vine;;0,72
Boreal;Dry;Vine;;0,72
Cool Temperate;Moist;Vine;;0,72
Cool Temperate;Dry;Vine;;0,72
Warm Temperate;Moist;Vine;;0,72
Warm Temperate;Dry;Vine;;0,72
Tropical;Moist;Vine;;1,01
Tropical;Dry;Vine;;1,01
Tropical;Wet;Vine;;1,01
Tropical Montane;Moist;Vine;;1
Tropical Montane;Dry;Vine;;1
Tropical Montane;Wet;Vine;;1
Boreal;Moist;Degraded Land;;0,33
Boreal;Dry;Degraded Land;;0,33
Cool Temperate;Moist;Degraded Land;;0,33
Cool Temperate;Dry;Degraded Land;;0,33
Warm Temperate;Moist;Degraded Land;;0,33
Warm Temperate;Dry;Degraded Land;;0,33
Tropical;Moist;Degraded Land;;0,33
Tropical;Dry;Degraded Land;;0,33
Tropical;Wet;Degraded Land;;0,33
Tropical Montane;Moist;Degraded Land;;0,33
Tropical Montane;Dry;Degraded Land;;0,33
Tropical Montane;Wet;Degraded Land;;0,33
Boreal;Moist;;Improved with high inputs;1
Boreal;Dry;;Improved with high inputs;1
Cool Temperate;Moist;;Improved with high inputs;1
Cool Temperate;Dry;;Improved with high inputs;1
Warm Temperate;Moist;;Improved with high inputs;1
Warm Temperate;Dry;;Improved with high inputs;1
Tropical;Moist;;Improved with high inputs;1
Tropical;Dry;;Improved with high inputs;1
Tropical;Wet;;Improved with high inputs;1
Tropical Montane;Moist;;Improved with high inputs;1
Tropical Montane;Dry;;Improved with high inputs;1
Tropical Montane;Wet;;Improved with high inputs;1
Boreal;Moist;;Non-Degraded;1
Boreal;Dry;;Non-Degraded;1
Cool Temperate;Moist;;Non-Degraded;1
Cool Temperate;Dry;;Non-Degraded;1
Warm Temperate;Moist;;Non-Degraded;1
Warm Temperate;Dry;;Non-Degraded;1
Tropical;Moist;;Non-Degraded;1
Tropical;Dry;;Non-Degraded;1
Tropical;Wet;;Non-Degraded;1
Tropical Montane;Moist;;Non-Degraded;1
Tropical Montane;Dry;;Non-Degraded;1
Tropical Montane;Wet;;Non-Degraded;1
Boreal;Moist;;High Intensity Grazing;1
Boreal;Dry;;High Intensity Grazing;1
Cool Temperate;Moist;;High Intensity Grazing;1
Cool Temperate;Dry;;High Intensity Grazing;1
Warm Temperate;Moist;;High Intensity Grazing;1
Warm Temperate;Dry;;High Intensity Grazing;1
Tropical;Moist;;High Intensity Grazing;1
Tropical;Dry;;High Intensity Grazing;1
Tropical;Wet;;High Intensity Grazing;1
Tropical Montane;Moist;;High Intensity Grazing;1
Tropical Montane;Dry;;High Intensity Grazing;1
Tropical Montane;Wet;;High Intensity Grazing;1
Boreal;Moist;;Severely Degraded;1
Boreal;Dry;;Severely Degraded;1
Cool Temperate;Moist;;Severely Degraded;1
Cool Temperate;Dry;;Severely Degraded;1
Warm Temperate;Moist;;Severely Degraded;1
Warm Temperate;Dry;;Severely Degraded;1
Tropical;Moist;;Severely Degraded;1
Tropical;Dry;;Severely Degraded;1
Tropical;Wet;;Severely Degraded;1
Tropical Montane;Moist;;Severely Degraded;1
Tropical Montane;Dry;;Severely Degraded;1
Tropical Montane;Wet;;Severely Degraded;1
Boreal;Moist;;Improved With Medium Inputs;1
Boreal;Dry;;Improved With Medium Inputs;1
Cool Temperate;Moist;;Improved With Medium Inputs;1
Cool Temperate;Dry;;Improved With Medium Inputs;1
Warm Temperate;Moist;;Improved With Medium Inputs;1
Warm Temperate;Dry;;Improved With Medium Inputs;1
Tropical;Moist;;Improved With Medium Inputs;1
Tropical;Dry;;Improved With Medium Inputs;1
Tropical;Wet;;Improved With Medium Inputs;1
Tropical Montane;Moist;;Improved With Medium Inputs;1
Tropical Montane;Dry;;Improved With Medium Inputs;1
Tropical Montane;Wet;;Improved With Medium Inputs;1
Boreal;Moist;;Improved Grassland;1
Boreal;Dry;;Improved Grassland;1
Cool Temperate;Moist;;Improved Grassland;1
Cool Temperate;Dry;;Improved Grassland;1
Warm Temperate;Moist;;Improved Grassland;1
Warm Temperate;Dry;;Improved Grassland;1
Tropical;Moist;;Improved Grassland;1
Tropical;Dry;;Improved Grassland;1
Tropical;Wet;;Improved Grassland;1
Tropical Montane;Moist;;Improved Grassland;1
Tropical Montane;Dry;;Improved Grassland;1
Tropical Montane;Wet;;Improved Grassland;1
